"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nFeature_RNA1","1","0",1,1494,2639.10910307898,646.841983318897,2610,2630.41053511706,633.0702,464,4765,4301,0.118438184952772,0.119535846794656,16.7348915133963
"so$nFeature_RNA2","2","1",1,876,2658.10730593607,625.743118369321,2613.5,2639.54700854701,570.0597,520,5059,4539,0.280998503229873,0.606655817998101,21.1419007179202
"so$nFeature_RNA3","3","2",1,481,2737.05197505198,700.310698459119,2663,2712.75064935065,686.4438,837,5132,4295,0.336247856925027,0.273639666642089,31.9314193114535
"so$nFeature_RNA4","4","3",1,415,2435.29397590361,630.967959205008,2403,2416.87687687688,616.7616,756,4600,3844,0.31032406425861,0.401076033757586,30.9729989500506
"so$nFeature_RNA5","5","4",1,381,2697.00524934383,643.891687503053,2653,2682.01639344262,627.1398,798,6371,5573,0.517868933717782,2.72875497705166,32.9875704435443
"so$nFeature_RNA6","6","5",1,334,2686.06586826347,691.314842792023,2662,2664.94776119403,710.9067,830,5006,4176,0.267319168584595,0.1199006244341,37.8270652029726
"so$nFeature_RNA7","7","6",1,112,2488.24107142857,540.801744585379,2450,2463.56666666667,500.3775,1389,4180,2791,0.444809040504492,-0.076427156702964,51.1009615986709
"so$nFeature_RNA8","8","7",1,80,2500.7375,559.620005427508,2484.5,2490.859375,589.3335,1310,3863,2553,0.152944270117078,-0.382926550131627,62.5674186852354
"so$nFeature_RNA9","9","8",1,79,3767.96202531646,690.83499167234,3642,3707.55384615385,584.1444,2512,6226,3714,0.958513261362922,1.06374331943836,77.7250090666881
"so$nFeature_RNA10","10","9",1,38,2839.86842105263,848.309612367606,2825,2834.9375,813.9474,1022,5041,4019,0.103541606188824,0.06759079121789,137.613990877159
