"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cntn5",0,2.29763073834589,0.954,0.636,0,"0","Cntn5"
"6330411D24Rik",0,2.2779493297625,0.88,0.31,0,"0","6330411D24Rik"
"Zfp804a",0,1.69581244698204,0.941,0.513,0,"0","Zfp804a"
"Cemip",0,1.67589257733016,0.869,0.303,0,"0","Cemip"
"Kcnh7",0,1.43197847142685,0.985,0.681,0,"0","Kcnh7"
"Lrrc4c",1.23631037067628e-303,1.45027734974595,0.989,0.781,4.31064336943698e-299,"0","Lrrc4c"
"Tafa2",1.11354952608175e-297,1.35303301040583,0.965,0.466,3.88261313258925e-293,"0","Tafa2"
"Sox5",4.25879463127854e-297,1.37653875600807,0.946,0.409,1.48491392408789e-292,"0","Sox5"
"Ndst3",3.92273221550858e-296,1.53982127960849,0.792,0.256,1.36773904158138e-291,"0","Ndst3"
"Dock4",7.3837983108798e-291,1.37437825210017,0.975,0.712,2.57450895705446e-286,"0","Dock4"
"Tmem108",9.15057244855645e-287,1.65336994884976,0.805,0.284,3.19053009563818e-282,"0","Tmem108"
"Esrrg",3.17599980144485e-285,1.33889033723206,0.932,0.588,1.10737585076978e-280,"0","Esrrg"
"Luzp2",5.67958820172417e-269,1.53523503247679,0.9,0.52,1.98030201829517e-264,"0","Luzp2"
"Erbb4",7.2603287560845e-254,1.2234060929674,0.998,0.791,2.53145882738398e-249,"0","Erbb4"
"Il1rapl1",2.3307438621538e-251,0.958837477100235,0.989,0.948,8.12660462417167e-247,"0","Il1rapl1"
"Trps1",7.53464291810076e-249,1.18390469351849,0.797,0.306,2.62710394625419e-244,"0","Trps1"
"Rora",3.86627177898386e-245,0.969277135505106,0.979,0.807,1.3480529811783e-240,"0","Rora"
"Nlgn1",1.53035148872731e-234,1.0962701637958,0.987,0.747,5.3358765357455e-230,"0","Nlgn1"
"Kazn",1.59149889342124e-221,1.09219950760385,0.934,0.665,5.54907919169183e-217,"0","Kazn"
