"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Otulin",0.0019853226666319,-1.488093780541,0,0.235,1
"Nsd1",0.00223760702887123,-1.24413231444731,0.243,0.588,1
"Desi2",0.00233962031311634,-1.54638412729758,0.027,0.294,1
"1110004F10Rik",0.00277523534122216,1.56317481006438,0.351,0.059,1
"Nol4",0.00314357950633463,-1.37333999774484,0.243,0.588,1
"Scaf8",0.0033325494088336,-1.55653056163857,0.054,0.324,1
"Man1a2",0.00365195123727337,1.60743589260188,0.378,0.088,1
"Immp1l",0.00373724193594669,-1.06771970044577,0.216,0.529,1
"Ap4s1",0.00410092406022181,-1.44469903628224,0,0.206,1
"Tmtc4",0.00410092406022181,-1.55942034515215,0,0.206,1
"Mxi1",0.00410092406022181,-1.31964294258229,0,0.206,1
"Trim62",0.0041842395406955,-1.44961012370199,0.027,0.265,1
"Gm16351",0.0041842395406955,-1.64724387359496,0.027,0.265,1
"Dnaaf9",0.00456392412715041,-1.33099434672884,0.135,0.441,1
"Grin2b",0.00469249454069558,1.06439949056069,0.703,0.5,1
"Trpm3",0.00489435205730262,-1.63903596467588,0.135,0.412,1
"Rtn1",0.0054144779413352,0.949111974102337,0.784,0.559,1
"Auts2",0.00561019971168539,-0.73086292539675,0.703,0.882,1
"Rnf169",0.00579472756989746,-1.34925072482888,0.054,0.294,1
"Ndufa10",0.00611120060407642,1.46655119386061,0.27,0.029,1
"Pten",0.00656672095243518,-1.00410149147537,0.189,0.529,1
"Il1rapl1",0.00657703524098282,-0.719365165782962,0.459,0.882,1
"Rab3a",0.0066475305469102,1.69032091317364,0.351,0.088,1
"Wasl",0.00740334581348105,-1.55383553868299,0.027,0.235,1
"Pak1",0.00756804989012624,1.64987410518236,0.297,0.059,1
"Cnot2",0.00785539353690705,-1.51851765698663,0.027,0.235,1
"Pcdh7",0.00830825205145931,-1.22769200292211,0.324,0.618,1
"Timm17a",0.00837257339356521,1.36620652137282,0.189,0,1
"Asns",0.00837257339356521,1.62314904365564,0.189,0,1
"2210408F21Rik",0.00837257339356521,1.18220538226641,0.189,0,1
"Rnf7",0.00837257339356521,1.41732982856362,0.189,0,1
"Alkbh8",0.00837772310347716,-1.26038233097548,0,0.176,1
"Mtif2",0.00837772310347716,-1.2747798620327,0,0.176,1
"Ppm1d",0.00837772310347716,-1.39802726157103,0,0.176,1
"E4f1",0.00837772310347716,-0.993258407670789,0,0.176,1
"Nr3c1",0.00837772310347716,-1.44060635250277,0,0.176,1
"Ndufv1",0.00837772310347716,-1.3843083426105,0,0.176,1
"Nhlrc2",0.00837772310347716,-1.01347044074811,0,0.176,1
"Nrxn3",0.0084699697973184,-0.87466666785343,0.811,0.941,1
"Pcdh17",0.00854038889922424,-1.45918156584183,0.108,0.382,1
"Sgip1",0.0088082847011566,-1.0037253996469,0.297,0.559,1
"Trhde",0.00897531981127847,-1.56395921572762,0.135,0.382,1
"Ctsb",0.00898546943497729,1.87684562157766,0.324,0.088,1
"Cdk13",0.00936354577812523,-1.22359439849586,0.027,0.235,1
"Rgs7",0.0102804853709574,-1.38199164093662,0.243,0.5,1
"Rps3a1",0.0103406519726689,1.54964088974404,0.324,0.088,1
"Meis2",0.0105418178584517,-0.713691939990764,0.405,0.794,1
"Hivep3",0.0106875910810218,-1.43967401979128,0.135,0.382,1
"Cox8a",0.010730354675677,1.22956134995646,0.514,0.235,1
"Gm3764",0.0115152279098271,-1.31753990615998,0.081,0.324,1
"2610008E11Rik",0.0116889610997369,1.15389053884334,0.243,0.029,1
"Serinc3",0.0123365471486285,1.28733679791645,0.243,0.029,1
"Cst3",0.0124114238392677,0.803407674498243,0.811,0.529,1
"Brinp1",0.0124688183808597,-0.825309799036377,0.243,0.529,1
"Ppia",0.0128334324266052,0.936966578639546,0.649,0.471,1
"Cttnbp2",0.0128423414711307,-1.29443621816278,0.162,0.412,1
"Sorcs2",0.0132119695030285,-1.27085566184105,0.108,0.353,1
"Ier5",0.0154471878334703,1.15490466456957,0.162,0,1
"Hsd17b12",0.0154471878334703,1.40580823462709,0.162,0,1
"Abcb5",0.0154471878334703,1.17101584026489,0.162,0,1
"Pak2",0.0154471878334703,1.09650680956757,0.162,0,1
"Ghr",0.0154556875003214,-1.09753686985143,0.027,0.206,1
"Zfp280c",0.0154556875003214,-1.04564469175207,0.027,0.206,1
"Nexmif",0.0157449949637589,-1.66652444023145,0.081,0.294,1
"Gria1",0.015881748936803,-0.747622246082285,0.432,0.794,1
"Ppp2r1a",0.0159820341117079,1.59278537991724,0.216,0.029,1
"Ccdc85a",0.0163701889545723,-1.10549517407273,0.027,0.206,1
"Cdca7l",0.0163701889545723,-1.49165203183064,0.027,0.206,1
