"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trim35",0.000101582380080206,-0.80937408070516,0.269,0.676,1
"Snhg11",0.000170864808626223,-0.338364334524794,0.962,1,1
"Pigu",0.000523488673691945,-0.765793167172563,0.115,0.432,1
"4833422C13Rik",0.000851344102010535,0.821495278336199,0.442,0.108,1
"Ubl5",0.000870028656606061,0.7917412196341,0.404,0.081,1
"Hacd2",0.00111292049066401,-0.68163369914433,0.192,0.486,1
"Dyrk1a",0.00118347825266481,-0.701640972359864,0.25,0.568,1
"Bdnf",0.00120884198253757,-0.518421358128186,0,0.189,1
"Dennd11",0.00120884198253757,-0.518713027709622,0,0.189,1
"Sp2",0.00120884198253757,-0.456543071066536,0,0.189,1
"Zfp874b",0.00120884198253757,-0.445961460676735,0,0.189,1
"Flna",0.00120884198253757,-0.547005655560801,0,0.189,1
"Alk",0.00180992253990101,0.875375596101041,0.788,0.568,1
"Nsmce2",0.00185749177437819,0.518719969578585,0.577,0.189,1
"Ppfia2",0.00187084689045593,0.605416253648033,0.923,0.919,1
"Ascc3",0.00189419639944152,-0.676875264174071,0.481,0.73,1
"Gm20721",0.00189637024868494,0.636929085762755,0.231,0,1
"Osbpl2",0.00189637024868494,0.620849218725137,0.231,0,1
"Arhgef10",0.00189637024868494,0.607127116180043,0.231,0,1
"Ntn4",0.00189637024868494,0.633050782406227,0.231,0,1
"Desi2",0.00205475041647426,0.584969826358924,0.654,0.27,1
"Ubr3",0.00225599283447871,0.746387631365143,0.827,0.459,1
"Gpt2",0.00226833764568433,-0.567565222691797,0.077,0.324,1
"Uckl1",0.00257183965966445,-0.549704844082973,0.058,0.297,1
"Nme7",0.00262949007626866,0.739635927577524,0.712,0.378,1
"Pex19",0.00263724646242746,-0.572905740720509,0.019,0.216,1
"Pfas",0.00263724646242746,-0.499720748832086,0.019,0.216,1
"Gm28320",0.00290024711611813,-0.62646407876123,0,0.162,1
"Tex261",0.00290024711611813,-0.370737272403701,0,0.162,1
"Zdhhc13",0.00304587033924266,-0.582698636320483,0.038,0.243,1
"Ranbp9",0.00320964218674416,0.693213524599879,0.442,0.135,1
"Ndufb10",0.00324396624509758,0.594573804794307,0.462,0.135,1
"Pgbd5",0.00341773745418116,-0.613282780085262,0.173,0.459,1
"Atp2b1",0.00350435129858755,-0.484852732082598,0.731,0.919,1
"Rn18s-rs5",0.00362026772924847,-0.320151800585791,1,1,1
"Rap1gap2",0.0036387329569371,-0.663297791856666,0.135,0.378,1
"Osbpl1a",0.00379607875039671,0.610751063094055,0.788,0.486,1
"Scaper",0.00396503235930071,0.752599135272782,0.5,0.216,1
"A330015K06Rik",0.00435954751530153,0.752774063363519,0.827,0.622,1
"Aifm1",0.004517537827038,-0.695827733654289,0.154,0.405,1
"Btbd7",0.00502458104240391,-0.652622078966735,0.288,0.541,1
"Rpia",0.00521252469973848,-0.486257858825035,0.019,0.189,1
"Nicn1",0.00521252469973848,-0.375994101504746,0.019,0.189,1
"Scd2",0.00542149577217952,-0.643814459560594,0.327,0.595,1
"Cacybp",0.00546429922714663,0.558069770750016,0.25,0.027,1
"Sirpa",0.00551221436076335,0.559918487615785,0.385,0.108,1
"Mfap3",0.00554155950405856,-0.609539074618083,0.231,0.486,1
"Prxl2c",0.00569329650245075,-0.702589013975129,0.212,0.459,1
"Ddx31",0.00577940765193206,-0.46450161763707,0.019,0.189,1
"Slc36a4",0.00577940765193206,-0.469469846493113,0.019,0.189,1
"Gskip",0.00577940765193206,-0.422052925894569,0.019,0.189,1
"Cttnbp2",0.00580429040948272,-0.598456500139252,0.731,0.838,1
"Calcoco1",0.00587452645599286,-0.544754802324221,0.096,0.324,1
"Epg5",0.00594074565520894,-0.540360325595099,0.058,0.27,1
"Sacm1l",0.00599219830968744,-0.52710919059276,0.346,0.676,1
"Norad",0.00599658907074149,0.867107336867735,0.673,0.432,1
"Zfp276",0.00608319774091039,-0.448845254965668,0.019,0.189,1
"Gapdh",0.00614718786835961,0.89022186661225,0.788,0.568,1
"Atxn2",0.00662314902378315,-0.544188812257928,0.346,0.622,1
"Cyren",0.00673428555587779,-0.465462366262341,0.019,0.189,1
"Sned1",0.00690575627314537,-0.365860914240394,0,0.135,1
"Ddx59",0.00690575627314537,-0.366304984315146,0,0.135,1
"Bmpr1b",0.00690575627314537,-0.450886013874826,0,0.135,1
"Med16",0.00690575627314537,-0.29452980179954,0,0.135,1
"Sgsm2",0.0069133263226905,-0.501328498675444,0.115,0.351,1
"Usp36",0.00691545556438589,-0.533894112284289,0.173,0.405,1
"Atp6v0c",0.00694473745532177,0.57605409272413,0.885,0.757,1
"1500015A07Rik",0.0070003724217562,-0.425690822631848,0.058,0.27,1
"Tmem70",0.00714411861902986,0.493648774798142,0.231,0.027,1
"Gm47283",0.00732070042661251,0.498591326775087,0.288,0.054,1
"Ccdc50",0.00735000501838118,0.61404315745836,0.481,0.189,1
"Znrf2",0.00736922573204039,-0.474564642298818,0.038,0.216,1
"Nkap",0.00736922573204039,-0.605744680795256,0.038,0.216,1
"Rubcn",0.0074395853138594,0.485700539080775,0.231,0.027,1
"Fut9",0.00752702912646858,-0.651579874073808,0.538,0.784,1
"Polr2b",0.00771030743263481,-0.385440530133985,0.038,0.216,1
"Gm16070",0.00774527425694548,0.510301704724254,0.231,0.027,1
"Pnma8b",0.00804301414692312,0.668032440129271,0.365,0.108,1
"Zfp932",0.00806360433889633,0.56008266021181,0.231,0.027,1
"A730060N03Rik",0.00821132480850264,-0.482844190241283,0.058,0.243,1
"Tmem234",0.0082127832598754,0.747672258795607,0.558,0.27,1
"Gm45501",0.00826165200444237,0.364543701518259,0.173,0,1
"Fbxo25",0.00826165200444237,0.524143943607896,0.173,0,1
"Polrmt",0.00826165200444237,0.452809496633059,0.173,0,1
"Rcor3",0.00835739434329227,-0.593860682318982,0.192,0.432,1
"9530085L11Rik",0.00843520834947653,-0.496948191310606,0.038,0.216,1
"Abca1",0.00873407844949137,0.565055874892181,0.231,0.027,1
"Rpl21",0.00919434664257025,0.670655883588386,0.5,0.216,1
"C2cd2",0.0092204672210263,-0.523779013938676,0.038,0.216,1
"Fahd1",0.0092901810080546,-0.486444778224151,0.058,0.243,1
"Txndc11",0.009353981731314,-0.634766315453584,0.212,0.432,1
"Ssb",0.00939419542005597,0.772305689399765,0.577,0.297,1
"Catspere2",0.00962655415681745,-0.497259229131959,0.154,0.378,1
"Tmbim6",0.0102047609363587,0.528236664867024,0.442,0.162,1
"Naca",0.0102589806349647,0.770808973908424,0.346,0.108,1
"Sgms1",0.0104719057765016,-0.573546273772974,0.288,0.541,1
"Actl6b",0.0108216901446413,0.33664272444097,0.288,0.054,1
"Paics",0.0109247489171687,-0.586465126785559,0.058,0.243,1
"Rundc1",0.0109892508088555,-0.315880407657545,0.038,0.216,1
"Cs",0.0110513019231383,-0.539955164935822,0.173,0.405,1
"Snap47",0.011205326176561,0.677865358004604,0.5,0.243,1
"Gucy1a1",0.0113932357099422,-0.524639260891416,0.096,0.297,1
"Tulp4",0.0114162758727482,0.497879016114868,0.75,0.405,1
"Fermt2",0.0116262154326084,-0.525479810874454,0.192,0.432,1
"Dcaf8",0.0116782439465012,-0.558490449948417,0.346,0.595,1
"Gm16835",0.0118835766237458,-0.481042996480037,0.077,0.27,1
"B230217O12Rik",0.0118835766237458,-0.400462068739522,0.077,0.27,1
"Tnpo3",0.0122857978384174,-0.56327013174233,0.231,0.459,1
"Zeb1",0.0122978539403564,-0.624331413811018,0.346,0.595,1
"Fbxl19",0.0123135469053876,-0.337244850251282,0.058,0.243,1
"Phc3",0.0123864413764264,-0.552926631650194,0.346,0.568,1
"Flrt3",0.0125005274475818,0.653613797490852,0.481,0.216,1
"Casz1",0.0125357035005426,-0.600054436368627,0.019,0.162,1
"Gcfc2",0.0125357035005426,-0.337971780361221,0.019,0.162,1
"Ppm1e",0.0126675303391707,-0.491451669294316,0.673,0.892,1
"Cfl1",0.0128947227170672,0.452532477089322,0.481,0.189,1
"Zbtb7a",0.0131740997653545,-0.322522874677367,0.154,0.378,1
"Utp14a",0.0132629479498986,0.469763212668354,0.25,0.054,1
"Zfp956",0.0133242214115385,0.409002151161022,0.212,0.027,1
"Rbck1",0.0133307462567399,0.407672944516189,0.154,0,1
"Klhl8",0.0133307462567399,0.400562167926365,0.154,0,1
"Phb2",0.0133307462567399,0.342135058414314,0.154,0,1
"Rtcb",0.0133307462567399,0.353480065297625,0.154,0,1
"Rskr",0.0133307462567399,0.33219337945542,0.154,0,1
"Pigx",0.0133307462567399,0.347804439867129,0.154,0,1
"Vldlr",0.0133307462567399,0.324903624432482,0.154,0,1
"Actr3",0.0134555821525877,0.508583230220496,0.404,0.135,1
"Sptbn4",0.0134872623115565,-0.680894505945104,0.442,0.703,1
"Bsn",0.0136716071919545,-0.581861333370857,0.404,0.595,1
"Ctsa",0.0138565333631157,0.435547631614656,0.212,0.027,1
"Ubr1",0.0139876683732182,0.666271418728384,0.462,0.216,1
"Srrt",0.0140573631989932,-0.510418712132358,0.096,0.297,1
"Gm11659",0.0140573631989932,-0.592703640357313,0.096,0.297,1
"Cnnm2",0.0140651466303499,-0.572111151886942,0.212,0.432,1
"Ipo7",0.0140911085332817,-0.620236247024809,0.154,0.351,1
"2610037D02Rik",0.0141870738948644,-0.254543064161767,0.192,0.405,1
"Nin",0.0142474372082585,0.522277043311442,0.519,0.243,1
"Scfd1",0.0142794811062315,0.666345925255213,0.346,0.135,1
"Sirt7",0.0142881658099002,-0.542994080198107,0.115,0.324,1
"Ppp6r1",0.0144075351936808,-0.336704058510512,0.058,0.243,1
"Rnf130",0.0144253480829615,-0.42395139884287,0.288,0.541,1
"Srebf2",0.0144431973565563,-0.496809975536449,0.154,0.378,1
"Cplx2",0.0145474976632747,0.426427494469904,0.327,0.081,1
"Rps23",0.0145474976632747,0.366242445848252,0.327,0.081,1
"Airn",0.0145474976632747,-0.614788074557758,0.135,0.351,1
"Reck",0.0145512218233163,0.369923870820674,0.269,0.054,1
"Kif3a",0.0147609834505297,-0.518980794174458,0.25,0.514,1
"Zc3h18",0.0152575362275854,-0.4377248965156,0.115,0.324,1
"Bag6",0.0152932128575472,-0.425524624886653,0.019,0.162,1
"Gm45904",0.0153563223506929,-0.852817392254592,0.231,0.459,1
"Prkar1a",0.0153980759488762,0.697892353898626,0.5,0.243,1
"Rpl30",0.0154786456721726,0.612340018473381,0.385,0.135,1
"Uqcc1",0.0157635895580889,-0.748423344014709,0.115,0.324,1
"Bri3",0.0157635895580889,0.495213550568525,0.288,0.081,1
"Baz1b",0.0158030515262279,-0.182361486598989,0.269,0.568,1
"Errfi1",0.0159315729693291,-0.46882984194643,0.038,0.189,1
"Clip3",0.016125765914836,-0.540465450158504,0.096,0.297,1
"Utrn",0.0161423089204872,-0.65120303500932,0.442,0.676,1
"Prdx2",0.0162805253927301,0.503800318765212,0.365,0.135,1
"Gm7568",0.0163913659164408,-0.288586214933069,0,0.108,1
"Uck1",0.0163913659164408,-0.249789049670086,0,0.108,1
"Gm14169",0.0163913659164408,-0.338997755291151,0,0.108,1
"Tuft1",0.0163913659164408,-0.361860656864315,0,0.108,1
"Enoph1",0.0163913659164408,-0.304461029224767,0,0.108,1
"Unc119b",0.0163913659164408,-0.229181196270307,0,0.108,1
"Gm43708",0.0163913659164408,-0.322744199691079,0,0.108,1
"Spred3",0.0163913659164408,-0.279146157017294,0,0.108,1
"BC030500",0.0163913659164408,-0.302847316983103,0,0.108,1
"Upf1",0.0163913659164408,-0.283774139227664,0,0.108,1
"Trim67",0.0163913659164408,-0.34551038250251,0,0.108,1
"Gm37105",0.0163913659164408,-0.294604827131299,0,0.108,1
"Plxdc1",0.0163913659164408,-0.212081370913133,0,0.108,1
"Dio2",0.0163913659164408,-0.425395134078874,0,0.108,1
"Gm15632",0.0163913659164408,-0.363858195236863,0,0.108,1
"Gm50107",0.0163913659164408,-0.344041505648701,0,0.108,1
"Skiv2l",0.0163913659164408,-0.282995669640166,0,0.108,1
"Dlk2",0.0163913659164408,-0.303370535418946,0,0.108,1
"Gm15337",0.0163913659164408,-0.313590305868394,0,0.108,1
"Ebf4",0.0166399304021696,-0.57956056044257,0.038,0.189,1
"Nup54",0.0168624639907813,-0.27849213181203,0.019,0.162,1
"Sin3a",0.0169741754378081,0.337355315218869,0.25,0.054,1
"Elovl7",0.0169741754378081,0.421677083262732,0.25,0.054,1
"Cox7a2",0.0170462176433264,0.26382875900713,0.5,0.216,1
"Utp20",0.0173757959372303,-0.456957656523612,0.038,0.189,1
"Gm960",0.0173757959372303,-0.483222377794096,0.038,0.189,1
"Slk",0.0177367150324555,0.592234472162995,0.327,0.108,1
"Snx12",0.0177375891760095,0.584439208678736,0.327,0.108,1
"Sec62",0.0177907856199595,0.441676031080724,0.75,0.486,1
"Srsf6",0.0178481492247609,-0.329095905567977,0.096,0.297,1
"Fbxo21",0.0178620183687865,-0.466337094225824,0.192,0.405,1
"Atp11a",0.0179374074565051,0.450349543755647,0.288,0.081,1
"Ssbp4",0.0179374074565051,-0.445293485789342,0.115,0.324,1
"Mark2",0.0181179140216832,-0.391884961398744,0.25,0.541,1
"Vcpip1",0.0181896701840988,0.509715768872816,0.25,0.054,1
"Dtx3",0.018353496654832,-0.51302718223159,0.25,0.459,1
"Uggt1",0.0184570599726945,-0.441655366381671,0.096,0.297,1
"Brap",0.0186965072539877,0.49573737084338,0.192,0.027,1
"Gm44562",0.0187254018686551,0.517384938030781,0.462,0.216,1
"Galnt1",0.0187260847661957,-0.574488196018654,0.269,0.486,1
"Tmed10",0.0189019165280955,0.472279011913554,0.385,0.135,1
"Etfdh",0.0189335694019954,-0.460143650532463,0.038,0.189,1
"Fbxw8",0.0190655285721723,-0.47814026119335,0.058,0.216,1
"Zzz3",0.0194414434615992,0.259246170004937,0.385,0.135,1
"Tead1",0.0194892877670299,-0.774164330146395,0.115,0.297,1
"Hps1",0.0197572841537557,-0.373191728861127,0.038,0.189,1
"Pitpnb",0.0204857506134397,0.44356798828062,0.365,0.135,1
"1700109K24Rik",0.020560987999847,-0.524161853999931,0.192,0.405,1
"Exoc6",0.020560987999847,-0.507951056091456,0.192,0.405,1
"Psmb1",0.0206058259012864,0.528722529323538,0.327,0.108,1
"Dgkq",0.0206060292369383,-0.473501802459939,0.058,0.216,1
"Cox11",0.0206173158185751,-0.373412502641465,0.173,0.378,1
"Rnf157",0.0209190273428312,-0.481445991567305,0.481,0.676,1
"Cmss1",0.0210906714874588,-0.363254279007089,0.519,0.73,1
