"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",3.71493130524469e-24,-0.52289942977678,1,0.996,1.29528509819967e-19
"Gm47283",3.1563248446441e-12,0.573583475242763,0.196,0.015,1.10051578358206e-07
"Snhg11",4.09018457927577e-12,-0.230813048408565,1,1,1.42612465725608e-07
"Hip1",8.14277084813853e-10,-0.643694867835719,0.275,0.491,2.83913991162046e-05
"Mir6236",2.52932555034251e-09,-0.599855503108062,0.234,0.439,8.81899939637923e-05
"Cmss1",3.89761824670362e-09,-0.457947287182444,0.553,0.764,0.000135898255407815
"Dlx6os1",9.52556722347785e-08,-0.444918595343904,0.98,0.982,0.00332127952381002
"Negr1",2.14291066514917e-07,0.374873796478483,0.944,0.878,0.0074716866161756
"Grip1os2",1.04017795714804e-06,0.382497323512115,0.74,0.535,0.0362678848318808
"Grik2",1.42355939925187e-06,0.288560320435591,0.988,0.996,0.049635245573715
"Dnm3",1.90323598998124e-06,0.459110546140032,0.792,0.664,0.066360129262676
"Esco1",3.14382592609529e-06,-0.409521888247886,0.301,0.458,0.109615778565164
"Cacna1a",3.46506485019532e-06,-0.39992361576003,0.728,0.841,0.12081641613176
"Nlgn1",3.62347635206431e-06,0.343053704426151,0.956,0.978,0.126339749967426
"Prr16",5.48186499039195e-06,-0.707607977808436,0.181,0.321,0.191136186619996
"Cst3",8.61279102825879e-06,0.41998861277145,0.702,0.539,0.300302184782299
"Eef1b2",1.0155525245858e-05,0.358954509727201,0.26,0.114,0.354092698747329
"Gm38505",1.16893501059324e-05,0.409577489370201,0.892,0.734,0.407572570143545
"Robo1",1.74899956495463e-05,0.439678419554745,0.953,0.904,0.609823678312732
"Acsl1",3.26207731536099e-05,-0.401306580490134,0.289,0.428,1
"Gm47027",3.33684931922427e-05,0.461372681195584,0.439,0.273,1
"A230004M16Rik",7.83950120975424e-05,0.349224078161998,0.298,0.159,1
"Adgrl3",8.01928889058606e-05,0.233267377910137,0.968,0.945,1
"E130308A19Rik",9.24245846377365e-05,0.32333138811053,0.26,0.133,1
"Larp1",0.000101448067741635,-0.359204609898175,0.404,0.542,1
"Gfpt2",0.000112682758117194,-0.350110738339512,0.135,0.255,1
"Prxl2a",0.000120551160551122,0.309325500565878,0.24,0.122,1
