"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",4.45691950363587e-07,-0.715691895690638,1,1,0.0155399412333272
"Arih1",3.21610745575914e-05,2.13606583924486,0.507,0,1
"Pcdh15",0.00014155125033747,3.24111344532307,0.549,0.087,1
"Psma5",0.000362340967390538,-1.38550058486919,0.042,0.304,1
"Vkorc1l1",0.000494115572821168,-1.52205110590957,0.042,0.304,1
"Gm37124",0.00052758492625732,-1.39172129851996,0.014,0.217,1
"Fgf14",0.000532929166980735,1.39338522679666,0.775,0.435,1
"Gars",0.00057355127912112,-1.43624737467419,0.07,0.348,1
"Supv3l1",0.000747112707292893,-1.47074771812044,0.056,0.304,1
"Apoe",0.000810562622221698,1.79486705755183,0.535,0.13,1
"Nyap2",0.000867858187391235,1.83381815624171,0.366,0,1
"Pcbp3",0.00103550623497142,1.45473934320206,0.451,0.043,1
"Plcl2",0.00106502195183751,1.60887099500802,0.521,0.13,1
"Dab1",0.00110828908286804,1.67068771098663,0.549,0.13,1
"Eif4g3",0.00136171172755436,1.3978574506498,0.493,0.087,1
"Celf4",0.00153099949934089,0.93278124225272,0.831,0.348,1
"Ubap2l",0.00155105112711478,-1.34774153446885,0.113,0.391,1
"Rcan2",0.00156499124486233,1.74919431509605,0.338,0,1
"Adgrb3",0.00160809109047073,1.59848399412152,0.606,0.217,1
"Mrpl20",0.00161797814246292,-1.3497739079574,0.042,0.261,1
"Foxn3",0.00170806880675344,-0.778057039068073,0.563,0.783,1
"Grm7",0.00173407777580653,2.94347784653539,0.38,0.043,1
"Zfp292",0.00185040369252461,-1.24798167383277,0.296,0.565,1
"Cacna2d1",0.00187046662746217,1.50965650158896,0.634,0.217,1
"Zbtb20",0.00195842568981389,-0.65624447875013,0.915,0.957,1
"Chsy3",0.0019622388192254,2.0676760436759,0.394,0.043,1
"Trim2",0.00200765139017125,-0.679700326431559,0.662,0.913,1
"Scn3a",0.00208551521386531,1.51812016125287,0.324,0,1
"Senp7",0.00208551521386531,1.50406725968889,0.324,0,1
"Gm32509",0.00208551521386531,1.62532941174096,0.324,0,1
"Prokr2",0.00212522838505216,-1.28844524902261,0.028,0.217,1
"Cox4i1",0.00217486876528433,-1.10466116106695,0.338,0.609,1
"Rrs1",0.00220225953871806,-1.04439286257625,0,0.13,1
"Surf1",0.00220225953871806,-1.02243132922183,0,0.13,1
"Plk4",0.00220225953871806,-0.968373853825249,0,0.13,1
"Nkain3",0.00220225953871806,-1.09320931889913,0,0.13,1
"Prom1",0.00220225953871806,-0.883880363463636,0,0.13,1
"Mn1",0.00220225953871806,-0.925795076700827,0,0.13,1
"Ncapd2",0.00220225953871806,-0.98509492914175,0,0.13,1
"Cckbr",0.00220225953871806,-0.981376719050038,0,0.13,1
"Kif26a",0.00220225953871806,-0.969398702301048,0,0.13,1
"Tkt",0.00220225953871806,-0.938284066341433,0,0.13,1
"Dis3",0.00220225953871806,-0.95893943792121,0,0.13,1
"Ddn",0.00220225953871806,-0.963151778313598,0,0.13,1
"Gm17057",0.00220225953871806,-1.15991606544901,0,0.13,1
"Gm10501",0.00220225953871806,-1.03129113035837,0,0.13,1
"Clic1",0.00220225953871806,-1.0393753951521,0,0.13,1
"Ypel5",0.00220225953871806,-1.09862277587905,0,0.13,1
"Aip",0.00220225953871806,-1.15681593607708,0,0.13,1
"Gm15398",0.00224142880808169,2.34474010764964,0.38,0.043,1
"Cct6a",0.002266955408706,-1.28138034747553,0.028,0.217,1
"Mef2a",0.0022801779238223,1.42132487225276,0.408,0.043,1
"Gabarapl2",0.00263420530605521,-1.34404972998283,0.099,0.348,1
"Rpl19",0.00267104802127617,-1.18441625794526,0.254,0.522,1
"Serpini1",0.00274567870505415,-1.06685879014771,0.028,0.217,1
"Cacna1e",0.00276559614721156,1.96867195230112,0.31,0,1
"Tasp1",0.00276559614721156,1.54853265594215,0.31,0,1
"Fras1",0.00276559614721156,1.94411195542564,0.31,0,1
"Itpr1",0.00276559614721156,1.75975013438446,0.31,0,1
