"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",1.74829478002442e-12,0.730803849684139,0.22,0.025,6.09577940951115e-08
"Gm47283",1.74197958327049e-11,0.533619060933558,0.157,0.004,6.07376021298923e-07
"Rn18s-rs5",4.5244767694733e-10,-0.276023343455886,1,1,1.57754931521226e-05
"Rnpc3",1.34244756268575e-06,0.437555224382798,0.612,0.375,0.046807119168164
"Ncoa7",4.37423762301032e-06,0.401051152919835,0.569,0.351,0.152516543201501
"Ptprz1",6.6699982242715e-06,0.42256004263309,0.761,0.558,0.232562828085674
"Nme7",7.05837557179342e-06,0.434490894289924,0.522,0.305,0.246104381061721
"Nrgn",8.00186095992606e-06,-0.475207861895079,0.49,0.618,0.279000886089742
"Camk1d",8.34330109973807e-06,-0.430799420891811,0.565,0.667,0.290905879444567
"Ddhd2",1.08179592514008e-05,0.405083997553388,0.549,0.333,0.377189785218592
"mt-Co3",4.0177761702743e-05,0.281011617694266,0.114,0.025,1
"Mt1",4.61771877158393e-05,0.404108591322582,0.165,0.056,1
"Ccdc47",5.39969845971136e-05,0.313116991376475,0.345,0.175,1
"Dock10",5.69106099137509e-05,0.314261349481381,0.478,0.281,1
"1700030K09Rik",5.93408538012354e-05,0.307097390371819,0.129,0.035,1
"Prkacb",6.10041945791539e-05,0.353402105009382,0.365,0.196,1
"mt-Atp6",8.60088190453112e-05,0.306940969077084,0.114,0.028,1
"Gm48512",8.73840080571505e-05,0.389561759398478,0.349,0.196,1
"Coq7",8.90762967424392e-05,0.254088115227388,0.102,0.021,1
"Bche",0.000128039983469175,0.278437471504913,0.098,0.021,1
"Macf1",0.000143053082232434,-0.327945740259409,0.863,0.902,1
"Ube3a",0.000143685955177176,0.277589505190138,0.914,0.87,1
"Kctd13",0.000151156945936703,0.26041514580082,0.118,0.032,1
"Gm15577",0.000163523183429166,0.338434546763127,0.278,0.14,1
"Galnt11",0.000185878101551415,0.311902545671229,0.365,0.2,1
"Fgf1",0.000197387897958084,0.37207022602084,0.424,0.256,1
"Snhg12",0.000207897568714415,0.262977135019771,0.157,0.056,1
"Ctnna3",0.000297000207046217,0.406094301219903,0.843,0.754,1
"Cwc22",0.000307535248842851,0.322650948034701,0.184,0.077,1
"A230057D06Rik",0.000309221047749287,0.256393025443044,0.918,0.832,1
"Cbx1",0.000312618321805967,0.295873546929391,0.231,0.109,1
"Chac2",0.000335554338433985,0.190542573340574,0.149,0.053,1
"Asb3",0.000365776274018487,0.292405123887224,0.494,0.316,1
"Exd2",0.000367055588992354,0.363199957898427,0.208,0.095,1
"Plp1",0.000395666904685141,-0.47443538477684,0.29,0.411,1
"Snrpn",0.000406323144933237,0.279860442893689,0.745,0.582,1
"Atp5b",0.000409600802262574,0.447126388695348,0.467,0.309,1
"Cmss1",0.00044730605974682,-0.353596648572017,0.6,0.67,1
"Gm15478",0.000479023182435245,0.314538555000379,0.275,0.144,1
"Zscan18",0.000494090146191758,0.252176583619586,0.196,0.088,1
"Gm45846",0.000521023949685179,0.25327560861773,0.235,0.112,1
"Ubxn4",0.000584674707972316,0.328410876491616,0.365,0.218,1
"Dpy30",0.000595013291588621,0.307149604502963,0.176,0.077,1
"4930455C13Rik",0.000630495960914364,0.360244437863297,0.22,0.109,1
"Gm13269",0.000661024191920448,0.243596769877607,0.235,0.116,1
"Inpp5k",0.000661460882850088,0.154623011232987,0.114,0.035,1
"4930509J09Rik",0.000663763549888318,0.470438220814424,0.541,0.414,1
"Mtmr6",0.000674905533978983,0.258932038673885,0.192,0.088,1
"Rps15a",0.000703089315740313,0.295156069560176,0.251,0.13,1
"Ctc1",0.000706997998707582,0.224827271989043,0.086,0.021,1
"Oxr1",0.000737690197175693,0.452542157299738,0.847,0.751,1
"A230004M16Rik",0.000746546229228305,0.249156421028016,0.259,0.133,1
"Gm45235",0.000751651368186506,0.196838527169629,0.039,0,1
"9630028H03Rik",0.000762839780618395,0.43528800526442,0.443,0.309,1
"Ptgds",0.000775069801846005,0.321383000567063,0.506,0.333,1
"Rnf13",0.000780347144450827,0.352129444922691,0.384,0.239,1
"Gm26854",0.000783801415159998,0.325041185500469,0.251,0.133,1
"Gm44676",0.000852914007784168,0.245805902139378,0.149,0.06,1
"Cklf",0.000952912997465987,0.251338802651548,0.063,0.011,1
"Rbx1",0.000958810192263591,-0.360606690049199,0.196,0.298,1
"1810037I17Rik",0.000986301300165947,0.276977799866748,0.176,0.081,1
"Tent2",0.000998750105268683,0.309608767751218,0.314,0.179,1
"Ntn1",0.00104504528996338,0.214051172174311,0.063,0.011,1
"6230400D17Rik",0.00104737808439723,0.263120575127537,0.118,0.042,1
"Grid2",0.00112435532188615,0.303811632696993,0.933,0.888,1
"Macrod2os1",0.00113212048980385,0.289755640819808,0.325,0.189,1
"Dlgap1",0.00113468917612732,0.192433329298911,0.996,1,1
"H2-T24",0.00114536140825882,0.156879785610046,0.063,0.011,1
"Plcb4",0.00118209409406291,0.389719474242139,0.427,0.298,1
"Hnrnpk",0.00122669881115159,-0.35950269883568,0.235,0.347,1
"Lamp5",0.00127842485190397,-0.293330563943723,0.02,0.081,1
"Pnpt1",0.00128402078070164,0.237569875891311,0.318,0.186,1
"Mastl",0.00140329478048308,0.129082820184045,0.035,0,1
"1110002E22Rik",0.00140329478048308,0.118706810305478,0.035,0,1
"Gm26631",0.00140329478048308,0.0968621285700291,0.035,0,1
"Cyld",0.00140569706375328,0.225746694818267,0.435,0.281,1
"Ate1",0.00140901395939603,0.245509686594867,0.333,0.193,1
"Gm5441",0.00140994658811068,0.342600555004859,0.239,0.133,1
"Snhg11",0.0014178166970079,0.113590049679327,1,1,1
"Tmtc4",0.00148162698914276,0.287459028877737,0.165,0.074,1
"Rab2b",0.00148196355809267,0.255908521378533,0.22,0.112,1
"Oxld1",0.0014894224550236,0.23578180952329,0.067,0.014,1
"Reep5",0.00166744596572501,0.301220916247555,0.463,0.309,1
"Tspan18",0.00167643309897099,0.263170869922246,0.09,0.028,1
"Kalrn",0.00167986283694129,0.240850581710988,0.765,0.635,1
"A330076H08Rik",0.00168198852904497,0.247651000382648,0.757,0.66,1
"Gtf2h5",0.0016854396025208,0.294862476770837,0.251,0.14,1
"Mrpl24",0.00168717759027775,0.229256226514587,0.11,0.039,1
"Gm15614",0.00172509395448515,0.256346929472061,0.267,0.151,1
"5830417I10Rik",0.00175153899415781,0.274044247225499,0.208,0.105,1
"Khdrbs2",0.00178498339234886,0.239672439634353,0.329,0.2,1
"Vldlr",0.00204448545004256,0.207274532602165,0.22,0.112,1
"Otub1",0.00205693621322007,0.232638420533169,0.145,0.063,1
"Panx1",0.00214962603504846,0.172686858828734,0.078,0.021,1
"Agbl3",0.00219449825214528,0.27381599753594,0.106,0.039,1
"Anapc13",0.00222584624694635,0.194833240510515,0.078,0.021,1
"Gm47271",0.00224381823499085,0.314975689049329,0.196,0.102,1
"Rft1",0.00225820290553733,0.231531930334486,0.082,0.025,1
"Ccnd2",0.00226118916441684,0.311381282502469,0.384,0.249,1
"Gm45435",0.00227456349412039,0.203556981461284,0.114,0.042,1
"Fgfr2",0.00227841114958315,0.268929182514591,0.831,0.74,1
"Mkrn2",0.00231625568245211,0.230080189042083,0.106,0.039,1
"Tac2",0.00231790837010408,0.468735522117668,0.451,0.319,1
"Inhba",0.00231819299820977,0.186855399349729,0.125,0.049,1
"Btbd9",0.00236755201253933,0.272797900528389,0.263,0.151,1
