"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adamtsl1",0.000397885828205766,-1.59871676407989,0.294,0.9,1
"Snrnp70",0.000695817189287648,1.03817293598372,1,0.7,1
"Nsd3",0.000719177712635804,1.00695756519958,0.941,0.5,1
"Chrm2",0.00100460544998876,-1.10066620551352,0.882,1,1
"Snap25",0.00116034308965966,1.35165080622907,0.941,0.6,1
"Mir99ahg",0.0011931985203575,1.19094404313901,1,0.7,1
"Dtna",0.00123793905801774,1.176501339306,0.882,0.4,1
"Slc24a3",0.00142865100633367,1.0616936254202,1,0.8,1
"Kcnc2",0.00170045237720148,-0.985074996904077,0.941,1,1
"Bcl2l1",0.00186273534305409,-1.42125892321436,0,0.5,1
"Slc35f4",0.0021121249807615,1.52762303955323,0.647,0,1
"Grid2",0.00272977258983591,-0.973547223426198,0.706,1,1
"Ywhah",0.00292117660974547,-1.10082160920162,0.235,0.9,1
"C130073E24Rik",0.00298360381005124,1.97559909084606,0.765,0.2,1
"Igf1",0.00303527738333716,-1.11745309262118,0.059,0.6,1
"Gm11437",0.00303527738333716,-1.14752808982904,0.059,0.6,1
"Alk",0.00330643373274784,-0.920674008099742,0.882,1,1
"6330403K07Rik",0.00384905953942563,0.941154028534359,0.941,0.2,1
"Pcdh9",0.00386691923994132,-1.24859940266892,0.824,1,1
"Cntnap2",0.00388322409629123,-1.12247391806445,0.882,1,1
"Creb3l2",0.00407950420891185,-1.42802983834571,0.118,0.7,1
"Abca3",0.00407950420891185,-1.10513486794974,0.118,0.7,1
"B230303A05Rik",0.00412923881287599,2.33690765992393,0.588,0,1
"Zfp799",0.00412923881287599,1.25465977552801,0.588,0,1
"Brinp3",0.00452382984770416,-0.984140687884849,0.471,1,1
"Usp40",0.00459908450201274,-1.29217721952757,0.059,0.6,1
"Sumo1",0.00495146560427416,-1.25018547825443,0.176,0.7,1
"Wwc1",0.00495146560427416,-1.33692394419614,0.176,0.7,1
"Ralbp1",0.00523869633647508,-0.965688774898676,0.176,0.8,1
"Adgrb3",0.00531885185149417,-0.988578122283933,0.882,1,1
"Grip1",0.00532583846983749,-0.756141237405814,1,1,1
"Ralgapa2",0.00549642901681078,1.08154173149093,0.941,0.5,1
