"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",2.71308042646367e-28,-0.617505417286533,0.008,0.249,9.45969752295087e-24
"Gm47283",1.57746374509587e-27,-0.62367485451368,0.021,0.27,5.50014284002579e-23
"Rn18s-rs5",1.16042657590421e-24,-0.399796065953491,1,1,4.04605934220522e-20
"Dock4",1.69542693223629e-16,0.476410204448785,0.979,0.947,5.91144508462827e-12
"mt-Rnr1",2.65270569372775e-14,-0.709572564529618,0.649,0.819,9.24918894232056e-10
"Nme7",1.34214203466694e-12,-0.473629179389258,0.659,0.816,4.67964663227323e-08
"mt-Nd2",1.72798678190987e-12,-0.581084286869761,0.559,0.744,6.02497151248516e-08
"mt-Cytb",2.39450558115494e-11,-0.670124416769165,0.659,0.793,8.34892260981294e-07
"Il1rapl1",4.40989548698554e-11,0.228731421674617,0.992,0.988,1.53759825944725e-06
"mt-Nd1",5.08742684705973e-11,-0.68864416209799,0.576,0.744,1.77383311876431e-06
"Hsp90ab1",2.6643520976346e-10,-0.361739378688401,0.834,0.926,9.28979645882255e-06
"mt-Rnr2",1.72894698447048e-09,-0.53748008365459,0.802,0.893,6.02831945075321e-05
"Adgrb3",2.74892659692441e-09,0.25321900838918,1,0.991,9.58468236549635e-05
"mt-Nd4",4.02600577408036e-08,-0.514146583656892,0.449,0.609,0.0014037474332486
"Atp1b1",1.06617494334884e-07,-0.278212359550603,0.95,0.991,0.0037174321749744
"Hcn1",1.2078429501611e-07,0.232434694194539,0.985,0.979,0.00421138601432671
"Sox5",2.12690919983859e-07,0.279864338747782,0.942,0.898,0.0074158943070772
"Srcin1",2.58475553910049e-07,-0.288370833462397,0.526,0.688,0.00901226713818168
"Kcnh7",3.59154803292275e-07,0.230348332957007,0.985,0.96,0.0125226505263918
"Gabrg2",6.59069565005834e-07,0.343931507021033,0.844,0.777,0.0229797785230584
"Cntnap4",7.07452496748935e-07,0.268648337520647,0.952,0.914,0.0246667462041451
"Tpk1",9.41337957784638e-07,0.395772847417637,0.326,0.2,0.032821630574077
"mt-Nd3",1.41856658981931e-06,-0.22723465793084,0.05,0.144,0.04946116128723
"Syp",1.5650783237908e-06,-0.289992334074522,0.518,0.681,0.0545695859156139
"Erbb4",1.85210937573781e-06,0.15489891036068,1,0.998,0.0645774976038502
"Atp1a3",2.21551811888086e-06,-0.257294891594344,0.84,0.909,0.0772484702510188
"Ttc3",2.38759197018146e-06,-0.190464407971297,0.973,0.981,0.0832481692243169
"Grm7",4.78517471883443e-06,-0.416904659427592,0.601,0.709,0.1668446869216
"Meg3",5.30395399692897e-06,-0.0915226838989804,1,1,0.184932964010923
"mt-Co1",6.48286771195696e-06,-0.352109330930077,0.245,0.377,0.226038148512803
"Ccdc191",6.66954320967307e-06,-0.292162428214741,0.222,0.358,0.232546963091671
"Malat1",9.75671802676257e-06,0.110496792787062,1,1,0.340187487439131
"Ubc",1.1320403900995e-05,-0.273094394720255,0.293,0.44,0.394708522815994
"Stat2",1.22231221332615e-05,-0.184636828784345,0.056,0.142,0.426183599420427
"A230004M16Rik",1.45032900188272e-05,0.312671035275778,0.543,0.433,0.505686213086449
"Igsf8",1.7545047903247e-05,-0.320400382649399,0.324,0.447,0.611743185242515
"Lman1",1.88128302944827e-05,-0.232582543752351,0.131,0.242,0.65594695387773
"Gabrb2",1.93530336248604e-05,0.213946078589574,0.906,0.891,0.674782223398009
"Rilpl1",2.39835870982175e-05,-0.167839674556783,0.081,0.179,0.836235731353551
"Tra2a",2.51919025333728e-05,-0.239811650385853,0.717,0.814,0.878366065631108
"Nbea",2.95239374256396e-05,0.194365172413989,0.96,0.956,1
"Ckb",2.97586045002605e-05,-0.311636722058885,0.85,0.891,1
"Slc4a4",3.67892394433886e-05,0.262990052841478,0.784,0.695,1
"Ndufa9",3.83500232115351e-05,-0.190458316816348,0.133,0.247,1
"4930557K07Rik",3.84485885981894e-05,-0.196013302359568,0.104,0.202,1
"Map1b",4.06573620442376e-05,-0.210284088816443,0.871,0.902,1
"Rab3b",4.19280894209413e-05,-0.267426878304619,0.455,0.605,1
"Tmem108",4.36241482180616e-05,0.342311984913643,0.761,0.681,1
"Pcp4l1",5.37384063866905e-05,-0.201095578763898,0.17,0.288,1
"Cadm4",5.6601849649403e-05,-0.213379983775231,0.218,0.344,1
"Sncb",7.08564768974899e-05,-0.276120626145046,0.424,0.558,1
"Slc22a17",7.57503231783724e-05,-0.241504058208575,0.495,0.635,1
"Gabbr1",8.34085396268009e-05,-0.234677704780279,0.43,0.574,1
"Zfp804a",8.50861429210876e-05,0.300171105529067,0.871,0.865,1
"Hspa5",8.85987814680021e-05,-0.245784246159769,0.289,0.409,1
"Ushbp1",9.36296690968889e-05,-0.0792424033768115,0.002,0.037,1
"Set",9.37461305662628e-05,-0.235747732993861,0.204,0.323,1
"Hexa",0.000105512086987503,-0.169478153718,0.121,0.221,1
"C1qtnf4",0.000108693632611362,-0.29784106231929,0.53,0.651,1
"Sdk1",0.00011261211341226,0.384519981051952,0.497,0.402,1
"Stip1",0.000114962362867406,-0.20752726817752,0.17,0.279,1
"Ero1b",0.000115547321524378,-0.164433200015898,0.083,0.17,1
"Nsg2",0.000116226725062533,-0.285257313417858,0.414,0.535,1
"Ormdl3",0.000117298547264184,-0.187939903458381,0.077,0.158,1
"Hdac9",0.00012904054861333,0.319693696669539,0.74,0.66,1
"Ythdf1",0.000139773785695585,-0.165142422422101,0.075,0.156,1
"Adgra1",0.000140282751752642,-0.257867132996192,0.383,0.519,1
"Mrpl50",0.000148873555219496,-0.139452210860827,0.046,0.114,1
"Sox6",0.000153789023967931,0.201755487473588,0.95,0.9,1
"Snhg11",0.000154177033321785,-0.0889539385267097,1,1,1
"Gm39090",0.000155359416281862,-0.169087783998366,0.05,0.119,1
"Gm19410",0.000169723349974717,0.199191542873817,0.168,0.086,1
"Slc30a1",0.00017361684771227,-0.128044890848698,0.017,0.065,1
"Wasl",0.000175828707038999,-0.192436595085847,0.343,0.484,1
"1700024B18Rik",0.000181578717796112,-0.199146413330973,0.245,0.372,1
"Hspa8",0.000200564390713704,-0.220265516347179,0.694,0.795,1
"Rab6b",0.000205250137590397,-0.2150384761974,0.684,0.779,1
"Dpf2",0.000215862514616302,-0.194557660314102,0.131,0.223,1
"Resf1",0.000232566259460291,-0.187663778915307,0.164,0.27,1
"Rims1",0.000236816020286955,0.150569372661018,0.975,0.956,1
"Sparcl1",0.000237307397763998,-0.206799922976453,0.717,0.793,1
"1810034E14Rik",0.000238412000825013,-0.236508483916722,0.31,0.426,1
"Sft2d3",0.000251297004422858,-0.197540854056777,0.1,0.184,1
"Clk2",0.000257989208363258,-0.188286896077588,0.116,0.205,1
"Magi2",0.000264635358385266,0.120715003982272,0.998,0.993,1
"Rims4",0.000278456194470099,-0.177860451320386,0.299,0.433,1
"Zmym5",0.000282902243578233,-0.157720764086023,0.119,0.209,1
"1700010K24Rik",0.000284285880930063,-0.143506301927128,0.035,0.093,1
"Trappc4",0.000292509571884092,-0.20138159871479,0.162,0.26,1
"Capns1",0.000305424481055568,-0.163836405164983,0.114,0.205,1
"Fam229b",0.000306550900000959,-0.166927588403798,0.094,0.174,1
"ENSMUSG00000120580",0.000320588680837579,-0.155190850071243,0.189,0.298,1
"Katnb1",0.000321825122776759,-0.119396557967312,0.035,0.093,1
"Fabp3",0.000342456152008772,-0.190369075324259,0.225,0.34,1
"Bhlhe40",0.000350310812184694,-0.0927406319917675,0.015,0.058,1
"Kcna6",0.000354194710447001,-0.209570945356433,0.31,0.435,1
"Mrpl32",0.000363316368638765,-0.13827417146439,0.062,0.133,1
"Thumpd3",0.000378373709611003,-0.173030942626622,0.091,0.172,1
"Trrap",0.000387166890958063,-0.231492060542083,0.258,0.36,1
"Rnf115",0.000387526884101971,-0.225895205591413,0.22,0.328,1
"Sord",0.000401529363912511,-0.132326380733103,0.04,0.098,1
"Prcd",0.000405946472714217,-0.0811469226788789,0.015,0.058,1
"Canx",0.000413525990332466,-0.231433990261233,0.416,0.542,1
"Pla2g12a",0.000417204933857181,-0.140690143148687,0.048,0.112,1
"Slit2",0.000417908786140797,0.239812036946504,0.894,0.828,1
"Castor2",0.000421742547700764,-0.183377554965615,0.168,0.267,1
"4930447N08Rik",0.00042699933198441,0.293908178581543,0.522,0.44,1
"Lrrc4c",0.000431886472615761,0.180138959989164,0.983,0.988,1
"ENSMUSG00000120241",0.000434012818919906,-0.174493128595039,0.274,0.398,1
"mt-Atp6",0.000443081889724244,-0.187142800385019,0.096,0.174,1
"Fgf12",0.000488245147295507,0.121436714426548,0.994,0.993,1
"Msto1",0.000488322458279449,-0.140319540844763,0.075,0.149,1
"Ccdc88a",0.000512939767024253,0.199358027327596,0.788,0.735,1
"Cdkl5",0.000520468310011349,0.259338440183157,0.582,0.507,1
"Fam234b",0.000526608744062305,-0.192298056342927,0.146,0.237,1
"Nars",0.000527750852000288,-0.20685762829507,0.551,0.653,1
"Nebl",0.000534231646917742,0.167006563128214,0.948,0.923,1
"Gde1",0.000552633226534262,-0.238827325281277,0.316,0.435,1
"Tamm41",0.000562503514203975,-0.0890558539411199,0.033,0.088,1
"Dclk1",0.000566496678636187,0.153157581707187,0.944,0.933,1
"Got1",0.000625161648524835,-0.190035890238041,0.53,0.658,1
"Megf11",0.000674710964343077,-0.0925980189681054,0.019,0.063,1
"Sult4a1",0.00068185388197794,-0.204615531861557,0.256,0.365,1
"Ctsf",0.000690994406994633,-0.138037353035684,0.079,0.153,1
"Wif1",0.000691857063753451,0.141143626848707,0.083,0.03,1
"Gcsh",0.000705638749981038,-0.133681007340749,0.06,0.126,1
"Sbf2",0.000707544352568232,0.205805615935657,0.84,0.819,1
"Nufip2",0.000733288483828017,-0.217192758631419,0.422,0.535,1
"Atp5b",0.000738459974351134,-0.237669518368886,0.52,0.612,1
"Son",0.000743249233330961,-0.191197285591919,0.755,0.84,1
"Ctsl",0.000746175953603878,-0.217062945129407,0.343,0.46,1
"ENSMUSG00000120423",0.000778153008303767,-0.0445626885882045,0,0.023,1
"Pnkp",0.000787766648455038,-0.158180708925251,0.114,0.198,1
"Gps2",0.000790654995080387,-0.180432499569896,0.225,0.328,1
"Gm42477",0.000802825338396583,-0.15024944035994,0.085,0.158,1
"Pdia3",0.000808440223531949,-0.201635409625531,0.283,0.386,1
"Fbxl18",0.000808562126294899,-0.178434917575597,0.069,0.135,1
"Bcl2l2",0.000817770342456834,-0.121266654923592,0.048,0.107,1
"Nceh1",0.000861851433816375,-0.19928721939517,0.491,0.6,1
"Zcchc18",0.000873171048647183,-0.235398472679348,0.505,0.612,1
"C230038L03Rik",0.000880747810826439,-0.136164871373757,0.062,0.128,1
"Scrt1",0.00089394281146979,-0.177123022455655,0.152,0.24,1
"Kcnma1",0.000924362532706944,0.141017095568317,0.994,0.974,1
"Gtf2ird2",0.000929114526751369,-0.17571210989733,0.108,0.184,1
"Ubxn2a",0.00093045982464901,-0.191533359080687,0.198,0.3,1
"Celf5",0.000934475783815858,-0.175126792387147,0.152,0.242,1
"Smim14",0.000975070149973671,-0.21404956212105,0.306,0.405,1
"Gopc",0.000975139014761521,-0.199996861878723,0.11,0.184,1
"Ide",0.000990152038368152,0.234047733892754,0.389,0.3,1
"4933407K13Rik",0.00101709475607277,-0.0948790120202859,0.027,0.074,1
"6430548M08Rik",0.00102247235489674,-0.183404545801869,0.312,0.423,1
"Bsg",0.00103218758226496,-0.231060054392324,0.453,0.567,1
"Gm13748",0.00103354712235896,-0.0530133128278707,0.002,0.028,1
"Ddx18",0.00103646014921516,-0.210643344008853,0.146,0.23,1
"4933412O06Rik",0.00103661342293954,-0.0731561186938469,0.008,0.042,1
"Gm31166",0.00104258210912535,-0.0589353371417029,0.002,0.028,1
"Atrnl1",0.0010542434106896,0.157505275122287,0.95,0.942,1
"Shc3",0.00107106552012147,0.253612108767107,0.534,0.453,1
"Cerox1",0.00107426561519878,-0.0926644739588459,0.006,0.037,1
"Pfn2",0.00108967383451922,-0.163301469252575,0.231,0.33,1
"Mphosph8",0.00110654308151941,-0.183893267425543,0.36,0.479,1
"Cemip",0.00111487812313871,0.2387530569138,0.827,0.812,1
"Ndufs5",0.00113339175442088,-0.180269128091813,0.239,0.342,1
"Clstn1",0.00113348843182118,-0.173910965131285,0.59,0.705,1
"Ube2d3",0.00115160201474699,-0.179142738776476,0.339,0.463,1
"Pde10a",0.00116416343086315,0.179454162054917,0.938,0.926,1
"Polr3h",0.00122945666975237,-0.158517215471355,0.233,0.34,1
"Srpr",0.00123359961845721,-0.155009295487202,0.308,0.426,1
"Cacna1d",0.00123793322543607,0.184957438223583,0.923,0.93,1
"Grin2b",0.00124508203037452,-0.118615874145113,0.988,0.984,1
"Afap1",0.00126303084155934,0.19517167924167,0.601,0.519,1
"Atp5j",0.00127181750982137,-0.240589417641172,0.364,0.46,1
"Cope",0.00128059211331394,-0.160793679477895,0.187,0.286,1
"Ipo5",0.00128083841687524,-0.142656817620825,0.141,0.228,1
"Rell2",0.00128723434688808,-0.141752939379917,0.202,0.3,1
"Snx12",0.00129752597010744,-0.13933874991802,0.189,0.286,1
"Aplf",0.00130305472132263,-0.0723619561949857,0.012,0.049,1
"Hnrnpab",0.00132804985685113,-0.126125882247722,0.056,0.116,1
