"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",4.19471492803041e-21,-0.456967475593135,1,1,1.46257125395636e-16
"Echdc2",2.81122252717407e-17,-0.587494204039707,0.023,0.245,9.80188958549783e-13
"Gm47283",4.64089856832067e-16,-0.504168424587491,0.017,0.217,1.61814210381637e-11
"mt-Nd4",2.85345589784186e-10,-0.700342809809064,0.5,0.683,9.94914467900522e-06
"mt-Cytb",7.23992242107571e-10,-0.79326105104495,0.713,0.814,2.52434375055647e-05
"mt-Nd2",1.41105624298762e-09,-0.694156538607649,0.566,0.769,4.91992980242494e-05
"mt-Rnr1",1.61107965847008e-08,-0.649889679463616,0.744,0.852,0.000561735144518761
"mt-Rnr2",9.14752922469703e-08,-0.566042715966846,0.81,0.921,0.00318946901477511
"mt-Nd1",9.80648764114225e-08,-0.640348645863204,0.624,0.769,0.00341922804583707
"Gm26854",4.95169074401247e-07,-0.390603099970394,0.339,0.545,0.0172650601171483
"mt-Nd3",1.00806703078136e-06,-0.251938102550671,0.057,0.183,0.0351482731622538
"mt-Co1",1.18778252597101e-06,-0.35804693494908,0.25,0.441,0.0414144133330313
"Atp1b1",2.43746142414614e-06,-0.304757650502117,0.905,0.962,0.0849869674757036
"Zkscan16",3.41859645885162e-06,-0.269947056616892,0.129,0.283,0.119196202730779
"Scg2",1.45737964491042e-05,-0.378270153525728,0.394,0.583,0.508144560790917
"Nme7",1.56046061140929e-05,-0.272747193299919,0.609,0.79,0.544085801380077
"Fndc9",1.64581115385774e-05,-0.270048171286378,0.23,0.407,0.57384497501558
"Usp4",2.34197148690304e-05,-0.244362015547045,0.178,0.334,0.816575198338484
"Srp9",2.73118481451151e-05,-0.182313003823607,0.138,0.286,0.952282209275727
"Cntn6",3.15236240498541e-05,0.506908426971212,0.787,0.748,1
"Hspa8",3.44858849258412e-05,-0.387048783361424,0.678,0.807,1
"Rap1gap",5.35278412262688e-05,-0.266244217124297,0.213,0.362,1
"Bicral",5.96371932407587e-05,-0.302599863379987,0.445,0.617,1
"ENSMUSG00000120369",6.55261652963887e-05,-0.284741917114243,0.23,0.379,1
"Ptchd4",6.69624265961339e-05,0.317813426675698,0.911,0.852,1
