"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035307","positive regulation of protein dephosphorylation","4/7","49/28943",2.52729043858762e-10,8.99715396137193e-08,2.07503846536668e-08,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0035306","positive regulation of dephosphorylation","4/7","65/28943",8.06511654195572e-10,1.43559074446812e-07,3.31094258038182e-08,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0035304","regulation of protein dephosphorylation","4/7","96/28943",3.94704410438455e-09,4.68382567053634e-07,1.08024364962104e-07,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/7","22/28943",1.33137013737122e-08,1.14955727104214e-06,2.65125568129174e-07,"Hsp90ab1/Calm1/Calm2",3
"GO:0035303","regulation of dephosphorylation","4/7","136/28943",1.61454672899177e-08,1.14955727104214e-06,2.65125568129174e-07,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0010922","positive regulation of phosphatase activity","3/7","36/28943",6.16375906403002e-08,3.65716371132448e-06,8.43461766656739e-07,"Hsp90ab1/Calm1/Calm2",3
"GO:0006470","protein dephosphorylation","4/7","252/28943",1.9241404965827e-07,9.78562881119203e-06,2.2568865974955e-06,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0043666","regulation of phosphoprotein phosphatase activity","3/7","58/28943",2.65763711126232e-07,1.18264851451173e-05,2.72757492997975e-06,"Hsp90ab1/Calm1/Calm2",3
"GO:0016311","dephosphorylation","4/7","351/28943",7.23119556912913e-07,2.86033958067775e-05,6.59688016832833e-06,"Hsp90ab1/Ppia/Calm1/Calm2",4
"GO:0010921","regulation of phosphatase activity","3/7","86/28943",8.78899150736512e-07,3.12888097662198e-05,7.21622460604715e-06,"Hsp90ab1/Calm1/Calm2",3
"GO:0005513","detection of calcium ion","2/7","11/28943",2.75479739340277e-06,8.91552610955807e-05,2.05621240847288e-05,"Calm1/Calm2",2
"GO:0048102","autophagic cell death","2/7","15/28943",5.25673585252527e-06,0.000143953689499923,3.32004369633175e-05,"Calm1/Calm2",2
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","2/7","15/28943",5.25673585252527e-06,0.000143953689499923,3.32004369633175e-05,"Calm1/Calm2",2
"GO:0051284","positive regulation of sequestering of calcium ion","2/7","17/28943",6.80715596447e-06,0.000173096251667951,3.99216665585459e-05,"Calm1/Calm2",2
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","2/7","20/28943",9.50671108202355e-06,0.000225625943013359,5.20367343437078e-05,"Calm1/Calm2",2
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/7","23/28943",1.26545618336442e-05,0.000281564000798583,6.49378830937003e-05,"Calm1/Calm2",2
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/7","25/28943",1.50019520811382e-05,0.000314158525934424,7.24552484414107e-05,"Calm1/Calm2",2
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","2/7","26/28943",1.62502423916714e-05,0.000321393682857501,7.41239126637643e-05,"Calm1/Calm2",2
"GO:0051651","maintenance of location in cell","3/7","232/28943",1.73770346089721e-05,0.000325590753726003,7.50918947091314e-05,"Calm1/Calm2/Tmsb4x",3
"GO:0070296","sarcoplasmic reticulum calcium ion transport","2/7","32/28943",2.47832310666582e-05,0.000441141512986517,0.000101741685431544,"Calm1/Calm2",2
"GO:0002834","regulation of response to tumor cell","2/7","33/28943",2.63791095382293e-05,0.000447188714076649,0.000103136368119393,"Calm1/Calm2",2
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity","2/7","40/28943",3.89377192642332e-05,0.000630083093548501,0.000145317803952641,"Calm1/Calm2",2
"GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","2/7","43/28943",4.50623170882121e-05,0.000697486299278413,0.00016086319143618,"Calm1/Calm2",2
"GO:0051235","maintenance of location","3/7","341/28943",5.478283707401e-05,0.000801114544187116,0.000184763259747472,"Calm1/Calm2/Tmsb4x",3
"GO:0002347","response to tumor cell","2/7","48/28943",5.62580438333649e-05,0.000801114544187116,0.000184763259747472,"Calm1/Calm2",2
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity","2/7","50/28943",6.1081756242978e-05,0.000836350200865391,0.000192889756556773,"Calm1/Calm2",2
"GO:2001258","negative regulation of cation channel activity","2/7","52/28943",6.61026466009953e-05,0.000871575636664976,0.000201013896096594,"Calm1/Calm2",2
"GO:1903170","negative regulation of calcium ion transmembrane transport","2/7","57/28943",7.9516625921327e-05,0.00101099710099973,0.000233169053453515,"Calm1/Calm2",2
"GO:0055117","regulation of cardiac muscle contraction","2/7","71/28943",0.000123609151381046,0.00151740889281559,0.000349964203547062,"Calm1/Calm2",2
"GO:0051926","negative regulation of calcium ion transport","2/7","76/28943",0.00014168333469079,0.00168130890499737,0.000387764915995846,"Calm1/Calm2",2
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","2/7","82/28943",0.00016498420956335,0.00189465737434041,0.00043697006268052,"Calm1/Calm2",2
"GO:0032413","negative regulation of ion transmembrane transporter activity","2/7","85/28943",0.000177292968067984,0.00197238426975632,0.000454896431227064,"Calm1/Calm2",2
