"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051651","maintenance of location in cell","4/15","232/28943",5.12320624700934e-06,0.00364772284787065,0.00187131849232867,"Calm1/Fth1/Calm2/Hspa5",4
"GO:0005513","detection of calcium ion","2/15","11/28943",1.37511587396914e-05,0.00373383966206546,0.00191549728376214,"Calm1/Calm2",2
"GO:0051235","maintenance of location","4/15","341/28943",2.332202493807e-05,0.00373383966206546,0.00191549728376214,"Calm1/Fth1/Calm2/Hspa5",4
"GO:0048102","autophagic cell death","2/15","15/28943",2.62207841437181e-05,0.00373383966206546,0.00191549728376214,"Calm1/Calm2",2
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","2/15","15/28943",2.62207841437181e-05,0.00373383966206546,0.00191549728376214,"Calm1/Calm2",2
"GO:0051284","positive regulation of sequestering of calcium ion","2/15","17/28943",3.39418241268557e-05,0.00402776312972021,0.00206628297754718,"Calm1/Calm2",2
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","2/15","20/28943",4.73761455137494e-05,0.00481883080082708,0.00247210864560467,"Calm1/Calm2",2
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","2/15","22/28943",5.75649341493192e-05,0.00498624937164281,0.00255799605552935,"Calm1/Calm2",2
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/15","23/28943",6.30284330685186e-05,0.00498624937164281,0.00255799605552935,"Calm1/Calm2",2
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/15","25/28943",7.46925286437143e-05,0.00523596263308011,0.00268610146906978,"Calm1/Calm2",2
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","2/15","26/28943",8.08926811290466e-05,0.00523596263308011,0.00268610146906978,"Calm1/Calm2",2
"GO:0000910","cytokinesis","3/15","190/28943",0.000119542676302514,0.00666962662631358,0.0034215855105423,"Calm1/Calm2/Stmn1",3
