"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035307","positive regulation of protein dephosphorylation","4/13","49/28943",5.12448213811703e-09,3.22329926487561e-06,1.34854793108343e-06,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0035306","positive regulation of dephosphorylation","4/13","65/28943",1.63099197925535e-08,5.12946977475806e-06,2.14604207796756e-06,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0051651","maintenance of location in cell","5/13","232/28943",3.87110931644227e-08,8.1164258668073e-06,3.39570992670375e-06,"Fth1/Calm1/Calm2/Tmsb4x/Hspa5",5
"GO:0035304","regulation of protein dephosphorylation","4/13","96/28943",7.9410361962896e-08,1.24872794186654e-05,5.22436591861158e-06,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/13","22/28943",1.08470952376414e-07,1.36456458089529e-05,5.70899749349546e-06,"Calm1/Calm2/Hsp90ab1",3
"GO:0051235","maintenance of location","5/13","341/28943",2.62566430605744e-07,2.75257141418355e-05,1.15160715177958e-05,"Fth1/Calm1/Calm2/Tmsb4x/Hspa5",5
"GO:0035303","regulation of dephosphorylation","4/13","136/28943",3.22677852041635e-07,2.89949098477412e-05,1.21307463173547e-05,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0010922","positive regulation of phosphatase activity","3/13","36/28943",5.01088711290801e-07,3.93980999252392e-05,1.64831812924606e-05,"Calm1/Calm2/Hsp90ab1",3
"GO:0043666","regulation of phosphoprotein phosphatase activity","3/13","58/28943",2.15317084812564e-06,0.000150482718163447,6.29582119334982e-05,"Calm1/Calm2/Hsp90ab1",3
"GO:0006470","protein dephosphorylation","4/13","252/28943",3.77202332117805e-06,0.0002372602669021,9.92637716099488e-05,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0010921","regulation of phosphatase activity","3/13","86/28943",7.08973879001527e-06,0.000405404154447237,0.000169610975837686,"Calm1/Calm2/Hsp90ab1",3
"GO:0005513","detection of calcium ion","2/13","11/28943",1.02193833831623e-05,0.000535666012334092,0.000224109284718472,"Calm1/Calm2",2
"GO:0016311","dephosphorylation","4/13","351/28943",1.39438829903395e-05,0.000674669415455657,0.000282264837861123,"Calm1/Ppia/Calm2/Hsp90ab1",4
"GO:0048102","autophagic cell death","2/13","15/28943",1.94899664169593e-05,0.000817279258417827,0.000341929235385251,"Calm1/Calm2",2
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","2/13","15/28943",1.94899664169593e-05,0.000817279258417827,0.000341929235385251,"Calm1/Calm2",2
"GO:0051284","positive regulation of sequestering of calcium ion","2/13","17/28943",2.52313564172742e-05,0.000991907699154093,0.0004149894147578,"Calm1/Calm2",2
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","2/13","20/28943",3.52229027282242e-05,0.0013032474009443,0.000545246172263533,"Calm1/Calm2",2
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/13","23/28943",4.68664352815616e-05,0.00163772154400568,0.000685181802362011,"Calm1/Calm2",2
"GO:0006457","protein folding","3/13","169/28943",5.35785880808529e-05,0.00174688056781729,0.000730851212374399,"Ppia/Hsp90ab1/Hspa5",3
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/13","25/28943",5.55446921404543e-05,0.00174688056781729,0.000730851212374399,"Calm1/Calm2",2
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","2/13","26/28943",6.01581712380062e-05,0.00180188046231933,0.000753861794962484,"Calm1/Calm2",2
"GO:0071353","cellular response to interleukin-4","2/13","30/28943",8.0437830597471e-05,0.00229979070208224,0.000962175007146783,"Hsp90ab1/Hspa5",2
"GO:0070296","sarcoplasmic reticulum calcium ion transport","2/13","32/28943",9.16711514551835e-05,0.00240254809438793,0.00100516613437701,"Calm1/Calm2",2
"GO:0070670","response to interleukin-4","2/13","32/28943",9.16711514551835e-05,0.00240254809438793,0.00100516613437701,"Hsp90ab1/Hspa5",2
"GO:0002834","regulation of response to tumor cell","2/13","33/28943",9.75606965355068e-05,0.00245462712483335,0.00102695470037376,"Calm1/Calm2",2
"GO:0031396","regulation of protein ubiquitination","3/13","218/28943",0.000114004612788435,0.00275803467092023,0.00115389284198821,"Ppia/Hsp90ab1/Hspa5",3
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity","2/13","40/28943",0.000143868365448598,0.00335160006915438,0.0014022257840994,"Calm1/Calm2",2
"GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","2/13","43/28943",0.0001664287510563,0.00373870301480045,0.00156417999113064,"Calm1/Calm2",2
"GO:1903320","regulation of protein modification by small protein conjugation or removal","3/13","252/28943",0.000174876121594325,0.00379300277527,0.00158689765512091,"Ppia/Hsp90ab1/Hspa5",3
"GO:0002347","response to tumor cell","2/13","48/28943",0.000207634513621534,0.00435340363559817,0.00182135538264504,"Calm1/Calm2",2
