"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",1.81165751062409e-17,0.623920436553127,0.758,0.59,6.31670624229302e-13,7.62037671380711e-09,-0.444175976041234,0.685,0.758,0.000265699674880312
"2","Basp1",7.95555578068644e-10,0.541162254081492,0.68,0.548,2.77386363405194e-05,6.67032270150998e-07,-0.48199216760315,0.598,0.68,0.0232574141633548
"3","C1ql3",1.40527720850856e-06,0.395177870870864,0.294,0.171,0.0489978004290679,9.56047038958699e-07,-0.433099644796689,0.172,0.294,0.0333344921073729
"4","Calm1",1.42085202164311e-32,0.730619348755493,0.963,0.912,4.95408474386304e-28,3.52167489054009e-10,-0.384337698512044,0.96,0.963,1.22790238408461e-05
"5","Calm2",2.26363633432982e-21,0.576664260625814,0.918,0.825,7.89262080690779e-17,5.2768009450359e-08,-0.320812244720516,0.887,0.918,0.00183986218550567
"6","Dynll1",4.25461951910207e-12,0.556630716712814,0.484,0.279,1.48345818772532e-07,1.62226695048855e-10,-0.554098075085451,0.301,0.484,5.65635817626844e-06
"7","Egr1",1.08024102568559e-11,0.510517695135609,0.181,0.044,3.76647638425794e-07,1.76702483352275e-12,-0.516590135421672,0.033,0.181,6.16108548704378e-08
"8","Fth1",2.27384516131122e-23,0.681790233239441,0.844,0.66,7.92821592394382e-19,3.24573022295286e-07,-0.356711634927453,0.814,0.844,0.0113168875683697
"9","Gapdh",5.41012831305117e-31,0.826685258111801,0.894,0.746,1.88634943891155e-26,3.55865706925753e-07,-0.340713196824373,0.861,0.894,0.0124079696033802
"10","Gm47283",7.38591383498348e-09,0.320940336672968,0.119,0.023,0.000257524657684369,4.0130836206378e-12,0.456296621747152,0.313,0.119,1.39924186600778e-07
"11","Hspa5",5.72941725065386e-14,0.637598197413294,0.486,0.281,1.99767591278548e-09,3.72940377331286e-07,-0.463652432997183,0.355,0.486,0.0130033121364099
"12","Luc7l2",1.62634994041155e-08,-0.256589564826046,0.868,0.952,0.000567059433723294,1.40217579442188e-06,0.223921052589902,0.944,0.868,0.0488896634241075
"13","Nrgn",1.81041751290231e-17,0.66423090819546,0.803,0.652,6.31238274223649e-13,5.85608612630908e-19,-0.704313386245334,0.621,0.803,2.04184154966019e-14
"14","Olfm1",3.94926387625883e-16,0.5836333528189,0.758,0.594,1.37698983573517e-11,1.00146366377861e-07,-0.389903090678871,0.652,0.758,0.00349180335649687
"15","Stmn1",1.46225474404977e-16,0.644653745817807,0.737,0.548,5.09844361607835e-12,2.0345518482758e-09,-0.473614416689779,0.621,0.737,7.09387192938323e-05
"16","Tmem267",2.60569007198648e-19,0.941196051384281,0.201,0.021,9.08525957399527e-15,2.79116710372908e-18,-0.931203506948043,0.016,0.201,9.73196234057217e-14
