"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",3.02096587395962e-09,0.493167498860606,0.801,0.656,0.00010533201712735,6.62779309129735e-07,-0.381555110534991,0.71,0.801,0.0231091261714265
"2","Calm1",1.36436056259487e-21,0.65735939414821,0.986,0.947,4.75711597359952e-17,4.46894620964514e-14,-0.49922685372793,0.956,0.986,1.55818747491697e-09
"3","Calm2",1.95290360447915e-19,0.641173405166108,0.962,0.891,6.80918899773747e-15,2.35223661464816e-09,-0.39554803685951,0.929,0.962,8.20154340429372e-05
"4","Fth1",5.66459547657619e-23,0.741258308075284,0.899,0.732,1.97507450481782e-18,9.24678755082528e-09,-0.407182441165693,0.814,0.899,0.000322407741534625
"5","Gapdh",1.3236306003788e-16,0.685332946707321,0.885,0.763,4.61510281434078e-12,1.57005156002305e-07,-0.407354136333383,0.831,0.885,0.00547429877433236
"6","Gm47283",2.79387478631644e-07,0.340835241315997,0.104,0.014,0.00974140321744954,4.89468670960391e-09,0.420693460650308,0.284,0.104,0.00017066304150376
"7","Hsp90ab1",1.5094907863557e-13,0.546715553649876,0.954,0.894,5.26314152478641e-09,2.32035270554209e-10,-0.485857712468711,0.914,0.954,8.0903737784136e-06
"8","Hspa5",8.91189892537004e-12,0.62703743279391,0.557,0.349,3.10731179830877e-07,3.90427815396073e-11,-0.594041661565213,0.346,0.557,1.36130466394149e-06
"9","Luc7l2",4.13980433359436e-08,-0.339003142095755,0.842,0.939,0.00144342557699434,8.2569497382901e-09,0.357646582988666,0.929,0.842,0.000287895066524961
"10","Nrgn",7.34800738976356e-16,0.680876371614504,0.828,0.637,2.56202973658886e-11,1.21507056153872e-11,-0.518246434547596,0.692,0.828,4.23658652691707e-07
"11","Olfm1",6.10449980485089e-10,0.49174166261644,0.73,0.578,2.12845594695736e-05,3.96981211870238e-09,-0.419668224897735,0.589,0.73,0.000138415439142796
"12","Ppia",7.02810179277907e-20,0.746726289585771,0.861,0.679,2.45048825208828e-15,5.0792275964089e-07,-0.404882516115197,0.754,0.861,0.0177097428603989
"13","Tmem267",4.12386544769897e-15,1.07989026620399,0.205,0.022,1.4378681656492e-10,9.17512155002812e-14,-1.06621820122755,0.027,0.205,3.1990896308483e-09
"14","Tmsb4x",5.58060391562637e-19,0.783285615048181,0.803,0.573,1.94578916726145e-14,1.26816556281605e-08,-0.483371097082507,0.648,0.803,0.000442171286787071
