"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Aldoa",9.13843454868103e-14,0.81411937806727,0.763,0.561,3.18629797408862e-09,1.80722262136843e-09,-0.583086293498116,0.639,0.763,6.3012431139253e-05
"2","Atp6v0c",7.1258752868165e-17,0.679578372135902,0.927,0.768,2.48457893625431e-12,1.79584946197336e-07,-0.370893977791787,0.865,0.927,0.00626158831906251
"3","Calm1",4.85336346638065e-16,0.630872573509419,0.97,0.895,1.69222223982294e-11,4.95075143574079e-15,-0.587308279779201,0.906,0.97,1.72617850309974e-10
"4","Calm2",1.93464497662457e-15,0.627559799320229,0.93,0.807,6.7455266399969e-11,1.06120499903104e-13,-0.564761203706226,0.858,0.93,3.70010347012152e-09
"5","Chchd10",5.50866767765893e-09,0.600360928196538,0.493,0.27,0.000192070715916934,1.26183929572721e-06,-0.46729724775685,0.313,0.493,0.0439965507241206
"6","Fth1",5.79504009152584e-11,0.628455366827096,0.853,0.674,2.02055662871232e-06,6.74764856549678e-07,-0.426296557005465,0.735,0.853,0.0235270262533176
"7","Hsp90ab1",2.76055044956381e-16,0.687513033961888,0.93,0.793,9.62521125249415e-12,2.63520344721082e-10,-0.482439059657676,0.855,0.93,9.18816385938995e-06
"8","Hspa5",1.13338261179455e-07,0.59322747943184,0.453,0.26,0.00395176515254406,2.14814578559212e-07,-0.62804270245004,0.287,0.453,0.00748993991062405
"9","Nrgn",1.2586022673589e-16,0.695128444229355,0.843,0.618,4.38836852560027e-12,2.77114056351074e-14,-0.624142516254056,0.677,0.843,9.66213580279291e-10
"10","Pde10a",2.7895942212211e-14,0.833534247841872,0.833,0.705,9.7264781711316e-10,1.19404491940021e-06,-0.480066584240763,0.781,0.833,0.0416327642047271
"11","Ppia",1.17742530249702e-10,0.61773136705017,0.797,0.642,4.10532880221637e-06,3.94200574182532e-07,-0.463228820064124,0.726,0.797,0.0137445914200223
"12","Stmn1",9.11440272281901e-12,0.691501421386343,0.713,0.47,3.17791879736531e-07,9.95743286533599e-09,-0.55732249953604,0.526,0.713,0.00034718581171567
"13","Tmem267",8.26246283489225e-17,1.31731749265736,0.26,0.021,2.88087291664188e-12,3.99330892391281e-21,-1.38640339190058,0.003,0.26,1.39234702250068e-16
"14","Tuba1a",8.5069582743724e-09,0.569178006981471,0.693,0.505,0.000296612114152543,2.57706470204418e-07,-0.514649121386366,0.558,0.693,0.00898545149661744
