"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Inh-PV.circadian","Inh-PV","circadian","GO:0051651","maintenance of location in cell","4/15","232/28943",5.12320624700934e-06,0.00364772284787065,0.00187131849232867,"12313/12314/14319/14828",4
"6","Inh-PV.circadian","Inh-PV","circadian","GO:0051284","positive regulation of sequestering of calcium ion","2/15","17/28943",3.39418241268557e-05,0.00402776312972021,0.00206628297754718,"12313/12314",2
"12","Inh-PV.circadian","Inh-PV","circadian","GO:0000910","cytokinesis","3/15","190/28943",0.000119542676302514,0.00666962662631358,0.0034215855105423,"12313/12314/16765",3
"18","Inh-PV.circadian","Inh-PV","circadian","GO:0002347","response to tumor cell","2/15","48/28943",0.000278916692024208,0.0107768412981266,0.00552862792792716,"12313/12314",2
"27","Inh-PV.circadian","Inh-PV","circadian","GO:0032835","glomerulus development","2/15","66/28943",0.000527536939206603,0.0136566798975061,0.00700601408106832,"70350/13653",2
"28","Inh-PV.circadian","Inh-PV","circadian","GO:0032409","regulation of transporter activity","3/15","317/28943",0.000537060445407542,0.0136566798975061,0.00700601408106832,"11461/12313/12314",3
"37","Inh-PV.circadian","Inh-PV","circadian","GO:0032410","negative regulation of transporter activity","2/15","94/28943",0.00106602563946988,0.0203629919700121,0.0104464195943143,"12313/12314",2
"39","Inh-PV.circadian","Inh-PV","circadian","GO:0051098","regulation of binding","3/15","408/28943",0.00111538860509898,0.0203629919700121,0.0104464195943143,"11461/12313/16765",3
"46","Inh-PV.circadian","Inh-PV","circadian","GO:0002027","regulation of heart rate","2/15","113/28943",0.00153456352265351,0.0237523745245501,0.0121852069190107,"12313/12314",2
"49","Inh-PV.circadian","Inh-PV","circadian","GO:0051283","negative regulation of sequestering of calcium ion","2/15","121/28943",0.00175636933634566,0.0255211217852676,0.0130925920453694,"12313/12314",2
"50","Inh-PV.circadian","Inh-PV","circadian","GO:0051282","regulation of sequestering of calcium ion","2/15","123/28943",0.00181407147464391,0.0258323777989293,0.0132522695095039,"12313/12314",2
"51","Inh-PV.circadian","Inh-PV","circadian","GO:0051208","sequestering of calcium ion","2/15","125/28943",0.00187267054224246,0.0261439495309144,0.0134121089403124,"12313/12314",2
"54","Inh-PV.circadian","Inh-PV","circadian","GO:0009593","detection of chemical stimulus","2/15","129/28943",0.00199255279290672,0.0261897074211822,0.013435583198034,"12313/12314",2
"60","Inh-PV.circadian","Inh-PV","circadian","GO:0032411","positive regulation of transporter activity","2/15","143/28943",0.00244014933813795,0.0289564388125703,0.0148549442163837,"12313/12314",2
"61","Inh-PV.circadian","Inh-PV","circadian","GO:0034763","negative regulation of transmembrane transport","2/15","149/28943",0.00264521455881797,0.0308752912439081,0.0158393348043112,"12313/12314",2
"64","Inh-PV.circadian","Inh-PV","circadian","GO:0072006","nephron development","2/15","161/28943",0.00307893659221522,0.0342531695883943,0.0175722203535967,"70350/13653",2
"68","Inh-PV.circadian","Inh-PV","circadian","GO:0043271","negative regulation of ion transport","2/15","187/28943",0.00412510013596095,0.0431922249530029,0.0221580456219574,"12313/12314",2
