"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"2","NA.circadian","NA","circadian","GO:0008180","COP9 signalosome","4/18","35/28804",5.52044247286499e-09,4.58196725247794e-07,2.1791220287625e-07,"70350/56455/14828/15516",4
"5","NA.circadian","NA","circadian","GO:0030426","growth cone","3/18","202/28804",0.000256557409751527,0.00720770967274411,0.00342788982533804,"12313/56177/15516",3
"15","NA.circadian","NA","circadian","GO:1902495","transmembrane transporter complex","3/18","373/28804",0.00152128186334916,0.0168355192877307,0.00800674664920608,"12313/12314/56177",3
"19","NA.circadian","NA","circadian","GO:0016363","nuclear matrix","2/18","106/28804",0.00197507436380919,0.0172559128627539,0.00820668018203263,"11461/70350",2
"21","NA.circadian","NA","circadian","GO:0099572","postsynaptic specialization","3/18","438/28804",0.0024043270235202,0.0190056326621121,0.0090388233966925,"11461/14433/64011",3
"27","NA.circadian","NA","circadian","GO:0000776","kinetochore","2/18","161/28804",0.00447930343178304,0.0275394210991106,0.013097378455506,"11461/56455",2
"31","NA.circadian","NA","circadian","GO:0034663","endoplasmic reticulum chaperone complex","1/18","12/28804",0.00747466046051404,0.0361684762224131,0.0172012410696321,"14828",1
"32","NA.circadian","NA","circadian","GO:0044294","dendritic growth cone","1/18","12/28804",0.00747466046051404,0.0361684762224131,0.0172012410696321,"15516",1
"43","NA.circadian","NA","circadian","GO:0043292","contractile fiber","2/18","236/28804",0.0093805679888048,0.0362133554916651,0.0172225850467652,"12313/12314",2
"44","NA.circadian","NA","circadian","GO:0000775","chromosome, centromeric region","2/18","242/28804",0.00984285999189063,0.0367209181934588,0.0174639750444477,"11461/56455",2
"48","NA.circadian","NA","circadian","GO:1990913","sperm head plasma membrane","1/18","18/28804",0.0111921729883364,0.0387062649179968,0.0184081792571323,"15516",1
"50","NA.circadian","NA","circadian","GO:0099571","postsynaptic cytoskeleton","1/18","19/28804",0.0118104784453719,0.0392107884386346,0.0186481238611135,"11461",1
"63","NA.circadian","NA","circadian","GO:0030133","transport vesicle","2/18","346/28804",0.0193891283132895,0.049838465241955,0.0237025040782918,"12313/64011",2
"65","NA.circadian","NA","circadian","GO:0016607","nuclear speck","2/18","350/28804",0.0198115245710518,0.049838465241955,0.0237025040782918,"70350/192196",2
"69","NA.sleep","NA","sleep","GO:0101031","chaperone complex","2/16","34/28804",0.000160612883923867,0.00685281638075166,0.00332496847421339,"15516/15481",2
"70","NA.sleep","NA","sleep","GO:0008021","synaptic vesicle","3/16","234/28804",0.000274124293996867,0.0076961539942523,0.00373415366497439,"11984/12313/15481",3
"74","NA.sleep","NA","sleep","GO:0030133","transport vesicle","3/16","346/28804",0.000856741690140695,0.0137078670422511,0.00665102101556592,"11984/12313/15481",3
"79","NA.sleep","NA","sleep","GO:0030426","growth cone","2/16","202/28804",0.00550463539036165,0.0442766155616396,0.0214828973530981,"12313/15516",2
"83","NA.sleep","NA","sleep","GO:0044294","dendritic growth cone","1/16","12/28804",0.00664667919144457,0.0442766155616396,0.0214828973530981,"15516",1
"85","NA.sleep","NA","sleep","GO:0043292","contractile fiber","2/16","236/28804",0.00743688359436146,0.0442766155616396,0.0214828973530981,"12313/13010",2
"90","NA.sleep","NA","sleep","GO:1990124","messenger ribonucleoprotein complex","1/16","15/28804",0.00830186541780742,0.0442766155616396,0.0214828973530981,"15481",1
"92","NA.sleep","NA","sleep","GO:1990913","sperm head plasma membrane","1/16","18/28804",0.00995446577533554,0.0483327551937628,0.0234509256285527,"15516",1
"96","NA.sleep","NA","sleep","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","1/16","22/28804",0.0121539169729894,0.0483327551937628,0.0234509256285527,"11984",1
"101","NA.sleep","NA","sleep","GO:0099523","presynaptic cytosol","1/16","25/28804",0.0138004982924597,0.0483327551937628,0.0234509256285527,"15481",1
"102","NA.sleep","NA","sleep","GO:0045211","postsynaptic membrane","2/16","326/28804",0.0138006074682111,0.0483327551937628,0.0234509256285527,"15481/215114",2
"103","NA.sleep","NA","sleep","GO:0046930","pore complex","1/16","26/28804",0.0143487866981483,0.0483327551937628,0.0234509256285527,"11739",1
"105","NA.sleep","NA","sleep","GO:0099524","postsynaptic cytosol","1/16","27/28804",0.0148967893186511,0.0488920264817268,0.0237222825857062,"15481",1
