"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"4","NA.circadian","NA","circadian","GO:0010851","cyclase regulator activity","2/18","14/28404",3.43606767871311e-05,0.000701789839807307,0.000246242049055196,"12313/12314",2
"9","NA.circadian","NA","circadian","GO:0044325","transmembrane transporter binding","3/18","148/28404",0.000106801518789398,0.00110361569415711,0.000387233576897231,"12313/12314/15516",3
"11","NA.circadian","NA","circadian","GO:0016248","channel inhibitor activity","2/18","32/28404",0.000186023073836105,0.00157274053334161,0.000551838783628637,"12313/12314",2
"16","NA.circadian","NA","circadian","GO:0051082","unfolded protein binding","2/18","90/28404",0.00146972940396914,0.00854280216057061,0.00299747444230548,"14828/15516",2
"17","NA.circadian","NA","circadian","GO:0048306","calcium-dependent protein binding","2/18","94/28404",0.00160163795833797,0.00876190177208422,0.00307435149897692,"12313/12314",2
"18","NA.circadian","NA","circadian","GO:0019208","phosphatase regulator activity","2/18","106/28404",0.00202999561901189,0.0104883106982281,0.00368010901692213,"12313/12314",2
"19","NA.circadian","NA","circadian","GO:0047485","protein N-terminus binding","2/18","134/28404",0.00321662105308469,0.0156195263057699,0.00548053554588419,"12313/12314",2
"20","NA.circadian","NA","circadian","GO:0099106","ion channel regulator activity","2/18","137/28404",0.00335903791521934,0.0156195263057699,0.00548053554588419,"12313/12314",2
"21","NA.circadian","NA","circadian","GO:0031072","heat shock protein binding","2/18","143/28404",0.00365261456870484,0.0160795042939675,0.00564193133121667,"14828/15516",2
"24","NA.circadian","NA","circadian","GO:0043008","ATP-dependent protein binding","1/18","11/28404",0.00695002314154303,0.0269313396734792,0.00944959286788745,"15516",1
"28","NA.circadian","NA","circadian","GO:0016722","oxidoreductase activity, acting on metal ions","1/18","17/28404",0.0107216913839023,0.0356113320965327,0.0124952042443975,"14319",1
"32","NA.circadian","NA","circadian","GO:0099186","structural constituent of postsynapse","1/18","20/28404",0.0126024481221614,0.0366258648550315,0.0128511806508882,"11461",1
