"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010656","negative regulation of muscle cell apoptotic process","3/14","65/28943",3.86607793159467e-06,0.00294981746180673,0.00132260560817712,"Gapdh/Slc25a4/Hspa8",3
"GO:0010660","regulation of muscle cell apoptotic process","3/14","103/28943",1.54841361595323e-05,0.00433603091891248,0.00194414023404367,"Gapdh/Slc25a4/Hspa8",3
"GO:0010657","muscle cell apoptotic process","3/14","108/28943",1.78493315417244e-05,0.00433603091891248,0.00194414023404367,"Gapdh/Slc25a4/Hspa8",3
"GO:0048102","autophagic cell death","2/14","15/28943",2.27314858134337e-05,0.00433603091891248,0.00194414023404367,"Calm1/Atp6v0c",2
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","2/14","22/28943",4.99125959336339e-05,0.00761666213947253,0.0034150723533539,"Calm1/Hsp90ab1",2
"GO:0060547","negative regulation of necrotic cell death","2/14","25/28943",6.47678230456052e-05,0.00823630816396612,0.00369290219119679,"Fth1/Slc25a4",2
"GO:0001516","prostaglandin biosynthetic process","2/14","30/28943",9.37836436609953e-05,0.00894461501416743,0.00401048476181888,"Pla2g3/Ptgds",2
"GO:0046457","prostanoid biosynthetic process","2/14","30/28943",9.37836436609953e-05,0.00894461501416743,0.00401048476181888,"Pla2g3/Ptgds",2
"GO:0010922","positive regulation of phosphatase activity","2/14","36/28943",0.0001355995314084,0.0103445721988897,0.00463818164398036,"Calm1/Hsp90ab1",2
"GO:0010667","negative regulation of cardiac muscle cell apoptotic process","2/14","37/28943",0.00014330846290798,0.0103445721988897,0.00463818164398036,"Slc25a4/Hspa8",2
"GO:0010664","negative regulation of striated muscle cell apoptotic process","2/14","40/28943",0.000167699638358778,0.0103445721988897,0.00463818164398036,"Slc25a4/Hspa8",2
"GO:0006636","unsaturated fatty acid biosynthetic process","2/14","41/28943",0.000176250902471254,0.0103445721988897,0.00463818164398036,"Pla2g3/Ptgds",2
"GO:0010939","regulation of necrotic cell death","2/14","41/28943",0.000176250902471254,0.0103445721988897,0.00463818164398036,"Fth1/Slc25a4",2
"GO:0035307","positive regulation of protein dephosphorylation","2/14","49/28943",0.000252211361375854,0.0123074426922197,0.0055182711940007,"Calm1/Hsp90ab1",2
"GO:0046456","icosanoid biosynthetic process","2/14","51/28943",0.000273292351154754,0.0123074426922197,0.0055182711940007,"Pla2g3/Ptgds",2
"GO:0044403","biological process involved in symbiotic interaction","3/14","272/28943",0.000276739841092788,0.0123074426922197,0.0055182711940007,"Gapdh/Hsp90ab1/Hspa8",3
"GO:0001906","cell killing","3/14","273/28943",0.000279734782078734,0.0123074426922197,0.0055182711940007,"Gapdh/Hsp90ab1/Hspa8",3
"GO:0006692","prostanoid metabolic process","2/14","54/28943",0.000306476292466808,0.0123074426922197,0.0055182711940007,"Pla2g3/Ptgds",2
"GO:0006693","prostaglandin metabolic process","2/14","54/28943",0.000306476292466808,0.0123074426922197,0.0055182711940007,"Pla2g3/Ptgds",2
"GO:0043666","regulation of phosphoprotein phosphatase activity","2/14","58/28943",0.000353630785518153,0.0131546237302178,0.00589812059366872,"Calm1/Hsp90ab1",2
"GO:0010665","regulation of cardiac muscle cell apoptotic process","2/14","60/28943",0.000378451704236799,0.0131546237302178,0.00589812059366872,"Slc25a4/Hspa8",2
"GO:0031647","regulation of protein stability","3/14","312/28943",0.000413505811058393,0.0131546237302178,0.00589812059366872,"Gapdh/Hsp90ab1/Hspa8",3
"GO:0010662","regulation of striated muscle cell apoptotic process","2/14","63/28943",0.000417233749216406,0.0131546237302178,0.00589812059366872,"Slc25a4/Hspa8",2
"GO:0010659","cardiac muscle cell apoptotic process","2/14","64/28943",0.000430573912234328,0.0131546237302178,0.00589812059366872,"Slc25a4/Hspa8",2
"GO:0035306","positive regulation of dephosphorylation","2/14","65/28943",0.000444120192688383,0.0131546237302178,0.00589812059366872,"Calm1/Hsp90ab1",2
"GO:0070265","necrotic cell death","2/14","66/28943",0.000457872416782601,0.0131546237302178,0.00589812059366872,"Fth1/Slc25a4",2
"GO:0010658","striated muscle cell apoptotic process","2/14","67/28943",0.00047183041082079,0.0131546237302178,0.00589812059366872,"Slc25a4/Hspa8",2
"GO:0051402","neuron apoptotic process","3/14","329/28943",0.000482738485512579,0.0131546237302178,0.00589812059366872,"Gapdh/Hsp90ab1/Pla2g3",3
"GO:1905710","positive regulation of membrane permeability","2/14","70/28943",0.000514937277133035,0.0134724592664047,0.00604062807695595,"Slc25a4/Hspa8",2
"GO:0043303","mast cell degranulation","2/14","71/28943",0.000529716615979214,0.0134724592664047,0.00604062807695595,"Pla2g3/Ptgds",2
"GO:0002448","mast cell mediated immunity","2/14","73/28943",0.000559889829447438,0.0137169125666446,0.00615023326779265,"Pla2g3/Ptgds",2
"GO:0002279","mast cell activation involved in immune response","2/14","74/28943",0.000575283357971989,0.0137169125666446,0.00615023326779265,"Pla2g3/Ptgds",2
"GO:0045861","negative regulation of proteolysis","3/14","361/28943",0.000632448388684203,0.0146229733504863,0.00655648249832108,"Gapdh/Hsp90ab1/Cst3",3
"GO:0010921","regulation of phosphatase activity","2/14","86/28943",0.000775898299310597,0.016827019076725,0.00754470745662636,"Calm1/Hsp90ab1",2
"GO:0007040","lysosome organization","2/14","87/28943",0.000793935369281913,0.016827019076725,0.00754470745662636,"Atp6v0c/Hspa8",2
"GO:0080171","lytic vacuole organization","2/14","87/28943",0.000793935369281913,0.016827019076725,0.00754470745662636,"Atp6v0c/Hspa8",2
"GO:1902600","proton transmembrane transport","2/14","90/28943",0.000849258764993688,0.0175130929105455,0.00785232144019768,"Atp6v0c/Slc25a4",2
"GO:0035304","regulation of protein dephosphorylation","2/14","96/28943",0.000965344976346694,0.0193831109724349,0.0086907788729273,"Calm1/Hsp90ab1",2
"GO:0090559","regulation of membrane permeability","2/14","98/28943",0.00100564704425757,0.0195728300241487,0.00877584294384814,"Slc25a4/Hspa8",2
"GO:0045576","mast cell activation","2/14","99/28943",0.0010260985595884,0.0195728300241487,0.00877584294384814,"Pla2g3/Ptgds",2
"GO:0043299","leukocyte degranulation","2/14","101/28943",0.00106760170085462,0.0196943404887746,0.00883032442415912,"Pla2g3/Ptgds",2
"GO:0032418","lysosome localization","2/14","103/28943",0.00110990385454431,0.0196943404887746,0.00883032442415912,"Pla2g3/Ptgds",2
"GO:1990849","vacuolar localization","2/14","103/28943",0.00110990385454431,0.0196943404887746,0.00883032442415912,"Pla2g3/Ptgds",2
"GO:0070997","neuron death","3/14","450/28943",0.00119619331017909,0.0207430794469693,0.00930054607196664,"Gapdh/Hsp90ab1/Pla2g3",3
"GO:0002275","myeloid cell activation involved in immune response","2/14","120/28943",0.00150154042075773,0.0249059856747424,0.0111670626257726,"Pla2g3/Ptgds",2
"GO:0051702","biological process involved in interaction with symbiont","2/14","120/28943",0.00150154042075773,0.0249059856747424,0.0111670626257726,"Gapdh/Hspa8",2
"GO:0030003","cellular cation homeostasis","3/14","498/28943",0.00160016875062952,0.0259772075900069,0.0116473649261947,"Calm1/Fth1/Atp6v0c",3
"GO:0002444","myeloid leukocyte mediated immunity","2/14","133/28943",0.0018393961088822,0.0286420251240228,0.0128421855077704,"Pla2g3/Ptgds",2
"GO:0033559","unsaturated fatty acid metabolic process","2/14","133/28943",0.0018393961088822,0.0286420251240228,0.0128421855077704,"Pla2g3/Ptgds",2
"GO:0035303","regulation of dephosphorylation","2/14","136/28943",0.00192204077088158,0.029330342163653,0.0131508052744529,"Calm1/Hsp90ab1",2
"GO:0006690","icosanoid metabolic process","2/14","142/28943",0.00209255972113119,0.0311312146164845,0.0139582599853176,"Pla2g3/Ptgds",2
"GO:0032411","positive regulation of transporter activity","2/14","143/28943",0.00212165551776828,0.0311312146164845,0.0139582599853176,"Calm1/Slc25a4",2
"GO:0031341","regulation of cell killing","2/14","146/28943",0.00221009839167534,0.031817076846194,0.014265779092244,"Hsp90ab1/Hspa8",2
"GO:0006633","fatty acid biosynthetic process","2/14","154/28943",0.00245439042571107,0.0346796276818064,0.0155492570829649,"Pla2g3/Ptgds",2
"GO:0006457","protein folding","2/14","169/28943",0.0029452968710985,0.0408593002299665,0.0183200283848232,"Hsp90ab1/Hspa8",2
"GO:0009266","response to temperature stimulus","2/14","174/28943",0.00311837994555824,0.042487926758231,0.0190502534268126,"Hsp90ab1/Pcsk1n",2
"GO:0006606","protein import into nucleus","2/14","177/28943",0.00322448215545418,0.0431628049931848,0.0193528476550805,"Hsp90ab1/Hspa8",2
"GO:0051170","import into nucleus","2/14","181/28943",0.0033685703988341,0.0443141243846624,0.0198690631510178,"Hsp90ab1/Hspa8",2
"GO:0010951","negative regulation of endopeptidase activity","2/14","188/28943",0.003627896848924,0.0469166999276104,0.021035976376455,"Gapdh/Cst3",2
"GO:0050821","protein stabilization","2/14","193/28943",0.00381869267804596,0.0479496726984397,0.0214991289604648,"Gapdh/Hsp90ab1",2
"GO:0051099","positive regulation of binding","2/14","194/28943",0.00385740600652166,0.0479496726984397,0.0214991289604648,"Calm1/Hsp90ab1",2
"GO:0043524","negative regulation of neuron apoptotic process","2/14","195/28943",0.00389630367929654,0.0479496726984397,0.0214991289604648,"Hsp90ab1/Pla2g3",2
"GO:0007033","vacuole organization","2/14","197/28943",0.00397465141301626,0.048091793447937,0.0215628514459261,"Atp6v0c/Hspa8",2
"GO:0072330","monocarboxylic acid biosynthetic process","2/14","209/28943",0.00446013714529748,0.048091793447937,0.0215628514459261,"Pla2g3/Ptgds",2
"GO:0036363","transforming growth factor beta activation","1/14","10/28943",0.00482732726149471,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
"GO:0046034","ATP metabolic process","2/14","224/28943",0.00510380428963752,0.048091793447937,0.0215628514459261,"Gapdh/Hspa8",2
"GO:0002349","histamine production involved in inflammatory response","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0002441","histamine secretion involved in inflammatory response","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0002553","histamine secretion by mast cell","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0005513","detection of calcium ion","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Calm1",1
"GO:0019372","lipoxygenase pathway","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0097278","complement-dependent cytotoxicity","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
"GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:1903332","regulation of protein folding","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:1903599","positive regulation of autophagy of mitochondrion","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process","1/14","11/28943",0.00530886797342711,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0051651","maintenance of location in cell","2/14","232/28943",0.00546364605855159,0.048091793447937,0.0215628514459261,"Calm1/Fth1",2
"GO:0002176","male germ cell proliferation","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Ptgds",1
"GO:0006880","intracellular sequestering of iron ion","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Fth1",1
"GO:0007042","lysosomal lumen acidification","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Atp6v0c",1
"GO:0010744","positive regulation of macrophage derived foam cell differentiation","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0031392","regulation of prostaglandin biosynthetic process","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0061635","regulation of protein complex stability","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:0061684","chaperone-mediated autophagy","1/14","12/28943",0.00579019231493005,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:0046777","protein autophosphorylation","2/14","241/28943",0.00588210280714099,0.048091793447937,0.0215628514459261,"Calm1/Hspa8",2
"GO:2001234","negative regulation of apoptotic signaling pathway","2/14","241/28943",0.00588210280714099,0.048091793447937,0.0215628514459261,"Slc25a4/Tpt1",2
"GO:0034374","low-density lipoprotein particle remodeling","1/14","13/28943",0.0062713003757503,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0034375","high-density lipoprotein particle remodeling","1/14","13/28943",0.0062713003757503,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0071635","negative regulation of transforming growth factor beta production","1/14","13/28943",0.0062713003757503,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
"GO:0097577","sequestering of iron ion","1/14","13/28943",0.0062713003757503,0.048091793447937,0.0215628514459261,"Fth1",1
"GO:1901679","nucleotide transmembrane transport","1/14","13/28943",0.0062713003757503,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:0009205","purine ribonucleoside triphosphate metabolic process","2/14","251/28943",0.00636385235226273,0.048091793447937,0.0215628514459261,"Gapdh/Hspa8",2
"GO:0006470","protein dephosphorylation","2/14","252/28943",0.00641299405721721,0.048091793447937,0.0215628514459261,"Calm1/Hsp90ab1",2
"GO:0009144","purine nucleoside triphosphate metabolic process","2/14","257/28943",0.00666132669125015,0.048091793447937,0.0215628514459261,"Gapdh/Hspa8",2
"GO:0009199","ribonucleoside triphosphate metabolic process","2/14","257/28943",0.00666132669125015,0.048091793447937,0.0215628514459261,"Gapdh/Hspa8",2
"GO:0090257","regulation of muscle system process","2/14","258/28943",0.00671151695037998,0.048091793447937,0.0215628514459261,"Calm1/Slc25a4",2
"GO:0015867","ATP transport","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:0036093","germ cell proliferation","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Ptgds",1
"GO:0045793","positive regulation of cell size","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
"GO:0072530","purine-containing compound transmembrane transport","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:1901524","regulation of mitophagy","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:1905288","vascular associated smooth muscle cell apoptotic process","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:1905459","regulation of vascular associated smooth muscle cell apoptotic process","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:2001279","regulation of unsaturated fatty acid biosynthetic process","1/14","14/28943",0.00675219224559997,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0019058","viral life cycle","2/14","261/28943",0.00686313239487831,0.048091793447937,0.0215628514459261,"Hsp90ab1/Hspa8",2
"GO:0010466","negative regulation of peptidase activity","2/14","262/28943",0.00691401858144478,0.048091793447937,0.0215628514459261,"Gapdh/Cst3",2
"GO:1901215","negative regulation of neuron death","2/14","267/28943",0.00717105032893975,0.048091793447937,0.0215628514459261,"Hsp90ab1/Pla2g3",2
"GO:0032308","positive regulation of prostaglandin secretion","1/14","15/28943",0.0072328680141559,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0034392","negative regulation of smooth muscle cell apoptotic process","1/14","15/28943",0.0072328680141559,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0044794","positive regulation by host of viral process","1/14","15/28943",0.0072328680141559,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","1/14","15/28943",0.0072328680141559,0.048091793447937,0.0215628514459261,"Calm1",1
"GO:1905665","positive regulation of calcium ion import across plasma membrane","1/14","15/28943",0.0072328680141559,0.048091793447937,0.0215628514459261,"Calm1",1
"GO:0002274","myeloid leukocyte activation","2/14","272/28943",0.00743240259176305,0.048091793447937,0.0215628514459261,"Pla2g3/Ptgds",2
"GO:0048588","developmental cell growth","2/14","273/28943",0.0074851898080707,0.048091793447937,0.0215628514459261,"Hsp90ab1/Slc25a4",2
"GO:0009141","nucleoside triphosphate metabolic process","2/14","275/28943",0.00759127977180764,0.048091793447937,0.0215628514459261,"Gapdh/Hspa8",2
"GO:0018119","peptidyl-cysteine S-nitrosylation","1/14","16/28943",0.00771332777106293,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0001821","histamine secretion","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0006735","NADH regeneration","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0017014","protein nitrosylation","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0032306","regulation of prostaglandin secretion","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:0035795","negative regulation of mitochondrial membrane permeability","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:0051284","positive regulation of sequestering of calcium ion","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Calm1",1
"GO:0060546","negative regulation of necroptotic process","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:0061621","canonical glycolysis","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0061718","glucose catabolic process to pyruvate","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Gapdh",1
"GO:0097212","lysosomal membrane organization","1/14","17/28943",0.00819357160593037,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:0043523","regulation of neuron apoptotic process","2/14","290/28943",0.00840874710097015,0.048091793447937,0.0215628514459261,"Hsp90ab1/Pla2g3",2
"GO:0045055","regulated exocytosis","2/14","291/28943",0.00846460495162245,0.048091793447937,0.0215628514459261,"Pla2g3/Ptgds",2
"GO:0007398","ectoderm development","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Tpt1",1
"GO:0035751","regulation of lysosomal lumen pH","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Atp6v0c",1
"GO:0044406","adhesion of symbiont to host","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
"GO:0062099","negative regulation of programmed necrotic cell death","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Slc25a4",1
"GO:1900221","regulation of amyloid-beta clearance","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Pla2g3",1
"GO:1905664","regulation of calcium ion import across plasma membrane","1/14","18/28943",0.00867359960833347,0.048091793447937,0.0215628514459261,"Calm1",1
"GO:0046394","carboxylic acid biosynthetic process","2/14","298/28943",0.00886033725578539,0.048091793447937,0.0215628514459261,"Pla2g3/Ptgds",2
"GO:0016053","organic acid biosynthetic process","2/14","299/28943",0.00891754395342256,0.048091793447937,0.0215628514459261,"Pla2g3/Ptgds",2
"GO:0002703","regulation of leukocyte mediated immunity","2/14","303/28943",0.00914804845284072,0.048091793447937,0.0215628514459261,"Hspa8/Pla2g3",2
"GO:0022898","regulation of transmembrane transporter activity","2/14","303/28943",0.00914804845284072,0.048091793447937,0.0215628514459261,"Calm1/Slc25a4",2
"GO:0044827","modulation by host of viral genome replication","1/14","19/28943",0.0091534118678146,0.048091793447937,0.0215628514459261,"Hspa8",1
"GO:0051131","chaperone-mediated protein complex assembly","1/14","19/28943",0.0091534118678146,0.048091793447937,0.0215628514459261,"Hsp90ab1",1
