"X.1","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
1,"Atp6v0c",7.42252591880551e-23,0.63878003607214,0.927,0.823,2.58801211210992e-18,1.35161983711741e-10,0.395251741300793,0.908,0.823,4.71269288607727e-06
2,"Calm1",1.42085202164311e-32,0.730619348755493,0.963,0.912,4.95408474386304e-28,4.608161656867e-09,0.346281650243449,0.96,0.912,0.000160672772489982
3,"Cst3",8.13564365140685e-07,0.363287311903165,0.644,0.546,0.0283665487193603,5.5598523270038e-16,0.546779273123229,0.758,0.546,1.93855371085642e-11
4,"Fth1",2.27384516131122e-23,0.681790233239441,0.844,0.66,7.92821592394382e-19,1.89345359082178e-07,0.325078598311989,0.814,0.66,0.00660190463511829
5,"Gapdh",5.41012831305117e-31,0.826685258111801,0.894,0.746,1.88634943891155e-26,6.37448113889492e-12,0.485972061287428,0.861,0.746,2.22259033869849e-07
7,"Hsp90ab1",8.1883209552367e-21,0.654439397067111,0.907,0.869,2.85502186746238e-16,2.87771944797227e-07,0.318381451899526,0.908,0.869,0.0100337443992449
8,"Hspa8",6.74230081654542e-13,0.521693111968499,0.812,0.71,2.35083802570489e-08,6.18079770391751e-08,0.329986091201339,0.816,0.71,0.00215505873542492
9,"mt-Nd1",1.14696459760088e-06,0.558628563977962,0.715,0.629,0.0399912146245498,1.09059210647765e-07,0.523187191407103,0.767,0.629,0.00380256749765561
10,"Pcsk1n",2.29723992121913e-10,0.460516353224888,0.747,0.631,8.00978643331474e-06,4.61714713133885e-07,0.346377847929549,0.751,0.631,0.0160986069028392
11,"Pla2g3",5.97030551096884e-08,-0.330103707241001,0.292,0.477,0.0020816664225095,1.42052682243367e-06,-0.325388841973894,0.327,0.477,0.0495295087177948
12,"Ptgds",1.99312463907371e-07,0.479921110397784,0.477,0.354,0.00694942767905831,3.0612633294491e-12,0.54041093432831,0.576,0.354,1.06737068507902e-07
13,"Slc25a4",2.71224868914493e-17,0.620600166855895,0.812,0.685,9.45679750444163e-13,1.61613454045131e-09,0.393393144720303,0.814,0.685,5.63497630219158e-05
15,"Tpt1",3.78320566205792e-07,0.470262207807627,0.512,0.383,0.0131909031818973,6.29819010170164e-07,0.395619438610444,0.536,0.383,0.0219598994276031
16,"Tspyl4",1.10182019384707e-13,0.64131047672155,0.7,0.579,3.84171646988656e-09,1.23112145265926e-09,0.493531416885327,0.713,0.579,4.29255116898702e-05
