"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nCount_RNA1","1","0",1,2027,5727.4627528367,2262.94496139237,5390,5529.54220579174,2059.3314,628,17753,17125,0.962848314658363,1.47983547165799,50.2628507735007
"so$nCount_RNA2","2","1",1,1230,3762.31138211382,1335.0236659177,3526.5,3639.77540650406,1211.2842,530,8706,8176,0.876848566081293,0.816764127770056,38.0659268565396
"so$nCount_RNA3","3","10",1,108,5216.11111111111,1957.75051790127,4991.5,5020.51136363636,1673.1141,1911,14467,12556,1.42175674807247,3.70712323680823,188.384631419404
"so$nCount_RNA4","4","11",1,78,5401.34615384615,1977.62903975471,5170,5248.46875,1866.5934,2065,10964,8899,0.700929755512584,0.219280642313437,223.922394377168
"so$nCount_RNA5","5","2",1,1050,5320.05142857143,2150.23143747865,4954,5121.11904761905,1933.3104,960,16847,15887,1.16225920135175,2.50612405018417,66.357582799352
"so$nCount_RNA6","6","3",1,1014,2517.10059171598,1211.03956050871,2325.5,2393.23891625616,1120.8456,520,9227,8707,1.21427081148726,2.44524455846404,38.0311407893683
"so$nCount_RNA7","7","4",1,923,4776.41820151679,1668.86949947044,4497,4643.84844384303,1491.4956,584,11830,11246,0.875591097300704,1.32889968989007,54.9315086813124
"so$nCount_RNA8","8","5",1,889,5851.73228346457,2298.96785406254,5466,5662.49789621318,1955.5494,708,16327,15619,0.933511351738757,1.40741006831299,77.1049070904527
"so$nCount_RNA9","9","6",1,442,5654.67647058824,2365.5673727173,5228,5417.33898305085,1951.8429,1418,16828,15410,1.31854155881094,2.97091192289222,112.51856553561
"so$nCount_RNA10","10","7",1,268,1794.02611940299,832.294015900173,1587,1678.27777777778,661.9809,737,6300,5563,1.71319726230755,4.29791016473707,50.840448731801
"so$nCount_RNA11","11","8",1,233,5573.92703862661,3463.52589666875,4522,5048.80213903743,2590.1022,1248,23918,22670,1.89540495109327,5.12127160187413,226.903125770731
"so$nCount_RNA12","12","9",1,181,3439.60773480663,1237.18270264243,3264,3326.19310344828,1120.8456,1379,9971,8592,1.35977622064051,3.83001611573167,91.9590660712364
