"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nFeature_RNA1","1","0",1,2027,2679.21361618155,664.908340254413,2648,2666.83733826248,659.757,464,5006,4542,0.158210839062468,0.159760729353689,14.7684496328626
"so$nFeature_RNA2","2","1",1,1230,1974.56341463415,463.313465609955,1934.5,1956.39227642276,445.5213,406,3586,3180,0.351804485870613,0.288647097330396,13.2105946462268
"so$nFeature_RNA3","3","2",1,1050,2554.89333333333,646.663984551814,2525,2539.38095238095,622.692,715,5132,4417,0.251644599676788,0.551358475771407,19.9564838232359
"so$nFeature_RNA4","4","3",1,1014,1418.28106508876,483.423494792428,1386,1392.1157635468,491.4819,400,3746,3346,0.670968540539292,1.00157817930296,15.1812934860827
"so$nFeature_RNA5","5","4",1,923,2449.5698808234,560.975510196114,2423,2439.61840324763,539.6664,485,4435,3950,0.17132922767403,0.715823659072608,18.4647338321659
"so$nFeature_RNA6","6","5",1,889,2680.48256467942,669.646186984563,2648,2665.60448807854,603.4182,520,5059,4539,0.19964939729651,0.651339560326382,22.4592122676615
"so$nFeature_RNA7","7","6",1,442,2604.68552036199,662.788904682944,2550.5,2581.83333333333,590.8161,916,5018,4102,0.405663199082801,0.50661057068266,31.5256532821463
"so$nFeature_RNA8","8","7",1,268,1151.15298507463,366.536981122481,1084.5,1115.93518518519,346.1871,545,2537,1992,0.906179494982606,0.75873491007131,22.3898096598855
"so$nFeature_RNA9","9","8",1,233,2618.51072961373,997.952792883528,2408,2526.13903743315,990.3768,950,6371,5421,0.911307046852642,0.803951312497916,65.3780612105988
"so$nFeature_RNA10","10","9",1,181,1839.86740331492,419.604554694586,1826,1819.89655172414,392.889,932,3501,2569,0.554663956941389,0.623133962134168,31.1889609243135
"so$nFeature_RNA11","11","10",1,108,2474,548.749794030575,2450,2456.40909090909,479.6211,1034,4180,3146,0.3168813205241,0.221285788049504,52.8034735502173
"so$nFeature_RNA12","12","11",1,78,2524,597.222119265738,2512.5,2502.0625,569.3184,1310,4299,2989,0.360832241257712,0.047071187540682,67.622088992776
