"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"6330411D24Rik",0,2.68061720915839,0.821,0.124,0,"0","6330411D24Rik"
"Dock4",0,2.33662821201884,0.958,0.473,0,"0","Dock4"
"Cemip",0,2.09735509715197,0.828,0.14,0,"0","Cemip"
"Slit2",0,1.75877649895174,0.806,0.124,0,"0","Slit2"
"Esrrg",0,1.65009116890133,0.917,0.408,0,"0","Esrrg"
"Tmem108",0,1.54017889492952,0.752,0.234,0,"0","Tmem108"
"Ndst3",0,1.52849472088098,0.74,0.186,0,"0","Ndst3"
"Scn9a",0,1.51245932506091,0.829,0.228,0,"0","Scn9a"
"Eya4",0,1.50695110098748,0.633,0.129,0,"0","Eya4"
"Kcnc2",0,1.50572646551001,0.991,0.71,0,"0","Kcnc2"
"Iqgap2",0,1.4614585865638,0.807,0.223,0,"0","Iqgap2"
"Cntnap4",0,1.42577426111883,0.903,0.357,0,"0","Cntnap4"
"Fam135b",0,1.42015600328953,0.901,0.366,0,"0","Fam135b"
"Lrrc4c",0,1.4052366896674,0.985,0.785,0,"0","Lrrc4c"
"Me3",0,1.39994615058947,0.931,0.425,0,"0","Me3"
"Tafa2",0,1.39122660456547,0.937,0.445,0,"0","Tafa2"
"Kazn",0,1.39013061043921,0.922,0.506,0,"0","Kazn"
"Gm13629",0,1.37340703499889,0.78,0.221,0,"0","Gm13629"
"Sox5",0,1.36186344749736,0.936,0.392,0,"0","Sox5"
"Btbd11",0,1.31859788546485,0.88,0.413,0,"0","Btbd11"
"Nek7",0,1.31505744842731,0.698,0.135,0,"0","Nek7"
"Tmem132d",0,1.27668629589728,0.76,0.242,0,"0","Tmem132d"
"Sox6",0,1.20528319534235,0.94,0.332,0,"0","Sox6"
"Kcnc1",0,1.15939322517894,0.917,0.511,0,"0","Kcnc1"
"Sox5os4",0,1.14342271240375,0.544,0.073,0,"0","Sox5os4"
"Gpr176",0,1.13555712557404,0.749,0.252,0,"0","Gpr176"
"ENSMUSG00000120164",0,1.09672067898278,0.77,0.269,0,"0","ENSMUSG00000120164"
"Atrnl1",0,1.09345343965287,0.942,0.6,0,"0","Atrnl1"
"Cntnap5a",0,1.09329912478122,0.971,0.527,0,"0","Cntnap5a"
"Slc24a2",0,1.08364628106518,0.963,0.631,0,"0","Slc24a2"
"Etv6",0,1.06636832055375,0.631,0.196,0,"0","Etv6"
"Myo5b",0,1.06451819818351,0.499,0.048,0,"0","Myo5b"
"Mitf",0,1.05095468716631,0.604,0.145,0,"0","Mitf"
"Plxna4",0,1.046746100842,0.945,0.564,0,"0","Plxna4"
"Erbb4",0,1.03994602316493,0.998,0.847,0,"0","Erbb4"
"Plcxd3",0,1.02509120553109,0.68,0.189,0,"0","Plcxd3"
"Hcn1",0,1.01970095880278,0.975,0.7,0,"0","Hcn1"
"Tmem44",0,1.01371970881211,0.631,0.165,0,"0","Tmem44"
"Man1c1",0,0.995402077573211,0.607,0.168,0,"0","Man1c1"
"Fgf12",0,0.987691654232336,0.992,0.892,0,"0","Fgf12"
"Pvalb",0,0.978508087343909,0.436,0.047,0,"0","Pvalb"
"Gm45904",0,0.977298705728493,0.556,0.137,0,"0","Gm45904"
"Rbms3",0,0.961357375211999,0.971,0.734,0,"0","Rbms3"
"Tmem132c",0,0.946259957926629,0.538,0.127,0,"0","Tmem132c"
"Syt2",0,0.927178641197057,0.344,0.024,0,"0","Syt2"
"Adgrb3",0,0.923290286259705,0.997,0.936,0,"0","Adgrb3"
"Rbfox1",0,0.904194797765439,0.997,0.894,0,"0","Rbfox1"
"Frmpd1",0,0.886665384610365,0.434,0.063,0,"0","Frmpd1"
"Gm28501",0,0.827926899065454,0.392,0.049,0,"0","Gm28501"
"Magi2",0,0.773547219416005,0.994,0.939,0,"0","Magi2"
"Mypn",1.21657510079491e-305,0.695222044140159,0.306,0.028,4.24183240394161e-301,"0","Mypn"
"Cacna2d2",1.25026308020776e-296,0.918769808253578,0.681,0.236,4.3592922817604e-292,"0","Cacna2d2"
"Gm1604a",5.4954890719784e-294,0.910214324393763,0.669,0.227,1.91611217472671e-289,"0","Gm1604a"
"Ntrk3",7.60150702322374e-293,1.14636223456193,0.897,0.543,2.65041745378742e-288,"0","Ntrk3"
"Dlgap2",6.65675922633437e-291,0.792633540568213,0.99,0.837,2.32101223944601e-286,"0","Dlgap2"
"Myo1e",3.42537673520746e-290,0.759139890052918,0.349,0.046,1.19432610626479e-285,"0","Myo1e"
"Il1rapl2",3.58898867866212e-290,2.0397621028496,0.547,0.166,1.25137268258912e-285,"0","Il1rapl2"
"Opcml",2.88766806457472e-289,0.971018957902009,0.991,0.837,1.00684322407527e-284,"0","Opcml"
"Kcnma1",1.75557480293276e-288,0.80821459238558,0.976,0.773,6.12116266538567e-284,"0","Kcnma1"
"Dlgap1",4.32076619275428e-288,0.594308504790921,0.995,0.966,1.50652154842763e-283,"0","Dlgap1"
